Name,Sector,City,Address,Phone,Email,Lat-Long
Dcsmat,College,Kerala, Pullikkanam; Pullikkanam; 685503,,"finance@dcschool.net,xxxx.bschool@dcschool.net,dcsmat@dcbooks.com,info@dcschool.net,doej@dcsmat.ac.in,principal.mba@dcschool.net,admissionsdc@gmail.com,",9.7355789; 76.8749497
Dc School Of Architecture And Design,College,Kerala,Wagamon Pullikkanam; One School Avenue Pullikkanam; 685503,,"info@dcschool.net,",9.7331914; 76.8673146
Cindrebay School Of Fashion & Interior Design,College,Kerala,Near KSRTC Bus Stand Thodupuzha; Thodupuzha; 685584,7411579173.0,,9.896423; 76.708107
Amma College,College,Kerala, Adimali; Merchant Welfare Centre Adimali; 685561,7411579203.0,"manager@sngmc.org,polytech@sngmc.org,info@krgce.in,info@gokulamkrgce.in,x3eDevakiammapharmacycollege@Gmail.Com,Devakiammapharmacycollege@Gmail.Com,damtecollege@gmail.com,",10.0130705; 76.9555958
Tribal Arts And Science College Nadukani,College,Kerala,nan; nan; 685601,,"knmcollege@yahoo.co.in,tribalartsandsciencecollege@gmail.com,mail@bmcca.edu.in,mail@depaul.edu.in,knmcollege@gmail.com,ametrust@gmail.com,",9.765226; 76.906808
St Joseph Colleges,College,Kerala, Moolamattom; Moolamattom; 685589,,".in_coe@stjosephs.edu.in,sjcdevagiri@yahoo.co.in,coe@stjosephs.edu.in,u003einfo@stjosephs.edu.in,principal@stjosephs.edu.in,info@stjosephs.edu.in,u003e_office@stjosephs.edu,iqac@stjosephs.edu.in,principal@sjpharmacycollege.org,.in_iqac@stjosephs.edu,office@stjosephs.edu.in,",9.79173; 76.85188
Government Engineering College,College,Kerala, Idukki Painavu; Idukki Painavu; 685603,,"office@geckkd.ac,principal@gectcr.ac.in,principal@gecwyd.ac.in,info@dtekerala.gov.in,x3e@gectcr.ac.in,info@gecidukki.ac,",9.85087; 76.940002
Government Medical College Office Idukki,College,Kerala,nan; Idukki Twp; 685602,,"gmcpkd.cedo@kerala.gov.in,gmciprincipal@gmail.com,dmekerala@gmail.com,",9.8464566; 76.96111
Jpm Educational Institutions,College,Kerala, Kanchiyar; Labbakkada Kanchiyar; 685511,,"bed@jpmcollege.ac.in,jpm@jpmcollege.ac.in,Emailjpm@jpmcollege.ac.in,",9.7355305; 77.0629024
John Paul Memorial B.Ed College,College,Kerala, Kanchiyar; Idduki Kanchiyar; 685511,,"cstjpmcollege@gmail.com,bed@jpmcollege.ac.in,info@bed.jpmcollege.com,",9.7374644; 77.0626635
Gec Idukki,College,Kerala, Idukki Painavu; Idukki Painavu; 685603,,"info@gecidukki.ac.in,info@gecidukki.ac,",9.850886; 76.9400986
Marian College Kuttikanam,College,Kerala,Peermade Idukki 685531 Kuttikkanam; Kuttikkanam; 685531,,"x3eprincipal@mariancollege.org,bsw@mariancollege.org,principal@mariancollege.org,jeena.joseph@mariancollege.org,mmh@mariancollege.org,coe@mariancollege.org,rosamma.ks@mariancollege.org,soosy.joseph@mariancollege.org,mariancollege@mariancollege.org,",9.5838891; 76.9714346
Asramam Training College And Hospital,College,Kerala, Vazhavara; Puliyanmala Road Vazhavara; 685515,,"asramamkattappana@gmail.com,MICEPKD@YAHOO.CO,CYGNET.EDU@GMAIL.COM,",9.798099; 77.058359
St Josephs College Of Physical Education,College,Kerala, Arakulam; Moolamattom Arakulam; 685591,,"u003epe@stjosephs.edu.in,.in_socialwork@stjosephs.edu.in,.in_psychology@stjosephs.edu,sjcdevagiri@yahoo.co.in,psychology@stjosephs.edu.in,physics@stjosephs.edu.in,sjcpphysicaleducation@stjosephscollege.ac.in,principal@stjosephs.edu.in,sacedathua@gmail.com,kecollegemnm@gmail.com,stalinraphel@gmail.com,info@stjosephs.edu.in,principal@sjcetpalai.ac.in,principal@kecollege.in,socialwork@stjosephs.edu.in,pe@stjosephs.edu.in,u003e_physics@stjosephs.edu,",9.8148845; 76.8219048
Ayyappa Institute Of Management Studies,College,Kerala, Peermade; Peermade; 685531,,"jishnusekhar88@gmail.com,aimspeermade@gmail.com,info@microtec.in,hr@ayyappacollege.org,principal.aims1@gmail.com,principal@aimstudy.in,u003einfo@microtec.in,info@ayyappacollege.org,aims@mgu.ac.in,info@aimstudy.in,",9.57568; 76.975827
CPAS College of Engineering,College,Kerala, Idukki Painavu; Idukki Painavu; 685603,,"uce@cpas.ac.in,cpaskerala2017@gmail.com,principal@ucet.ac.in,info@staskochi.org,ucetdp@cpas.ac.in,",9.8538533776; 76.9478410355
Nariyanpara College Mala,College,Kerala, Nariampara; Nariampara Kerala Nariampara; 685511,,"stteresasmala@gmail.com,",9.7264729; 77.0900388
Government College,College,Kerala, Munnar HO; Devikulam Road Munnar HO; 685612,,"principalgcksd@gmail.com,principal@gectcr.ac.in,kgptc@yahoo.com,info@mahdinonline.com,",10.090479; 77.0695431
Safiya Academy Of Aviation Studies- SAAS (IATA Reg),College,Kerala,Near SBI Main Branch Kannur Cannanore; Kannur Cannanore; 670001,,"inhouseaviation@gmail.com,atciats@gmail.com,iata@sahrdayacas.org,",11.8674008; 75.3665536
Victory Iti,College,Kerala,Opposite Corporation Office Thrissur Ho; Mo Raod Thrissur Ho; 680001,9054647291.0,"prasanthmenonvictory@gmail.com,vtiitc@gmail.com,rpvitc@gmail.com,detkerala@gmail.com,victorycomputereducation@gmail.com,",10.521513888889; 76.215730555556
Newmans College Plus Two NIOS Degree PG & B Ed,College,Kerala,Near Jaya Palace Hotel Thrissur Round Thrissur Central; Kuruppam Road Thrissur Central; 680001,9054643769.0,,10.520102; 76.215479
Newmans College,College,Kerala,Behind Jaya Palace Kuruppam Road; Road Thrissur Kuruppam Road; 680001,8487092925.0,"studentsupport@newman.ac.uk,rratheesh20@gmail.com,life@newman.jpg,bijimolnewman@gmail.com,x3estudentsupport@newman.ac.uk,principal@newmancollege.ac.in,mariathottupuram@gmail.com,newmancollegethodupuzha@gmail.com,jeromekjose@gmail.com,",10.52305507; 76.2205765
Maya Animation School,College,Kerala,Town Hall Thrissur City; Museum Cross Road Thrissur City; 680020,8460420221.0,"info@mayacollegevalapad.com,powai@maacmail.com,",10.5317975; 76.220816666667
Sincere Academy For Management Studies,College,Kerala,Near North Bus Stand Thrissur City; Swimming Pool Road Thrissur City; 680020,,"info@sincereacademy.com,samstsr@gmail.com,",10.5321002; 76.2144937
Sahyajothi College,College,Kerala, Kumily; Amaravathi Kumily; 685509,,"sahyajyothicollege@gmail.com,",9.6161494; 77.1603225
New Vision Canada,College,Kerala, Kumily; Kumily; 685509,,"info@newvisioncanada.inOpens,info@canadanewvision.comOpens,malabar@newvisioncanada.inOpens,",9.6037025; 77.1675208
Royal College,College,Kerala, Thekkady; Tamil Nadu Thekkady; 685509,,"Emailprincipal@royalcet.ac.in,royalcsa@gmail.com,ho@munnarcateringcollege.edu.in,admin@royalgroupindia.in,ceo@royalcet.ac.in,royaldentalcollege@gmail.com,info@royalcet.in,principal@royalcet.ac.in,",9.6190989; 77.158285
Nsp Higher Secondary School,College,Kerala, Puttady; Munnarkumily Hwy Puttady; 685551,,"Email-ntse2011@gmail.com,nsphpsml@gmail.com,dhe-sml-hp@gov.in,dir.colledn@kerala.gov.in,ysamal67@gmail.co,dcedirectorate@gmail.com,helpdesk@nsp.gov.in,x3ehelpdesk@nsp.gov.in,",9.695907; 77.1606637
Christ College,College,Kerala, Puliyanmala; Puliyanmala Road Puliyanmala; 685515,,"statisticsdept@christcollegeijk.edu.in,christcollegethalasery@gmail.com,contact@cce.edu.in,christcollegevizhinjam@gmail.com,office@christcollegeijk.edu.in,",9.7517984; 77.1409624
St.Sebastian College,College,Kerala, Kattappana South; Kattappana South; 685515,,"sherryseb@gmail.com,info@ststephens.net.in,principalss171@gmail.com,",9.7477018; 77.111578
St Johns College Of Nursing,College,Kerala, Kattappana; St Johns Hospital Kattappana; 685508,,"st.johnofgod1969@gmail.com,st.thomascollegeofnursing@gmail.com,stjohnskpna1@sancharnet.in,sjconkattappana@gmail.com,u003esjconkattappana@gmail.com,rekcyanish@gmail.com,mail@stjohnscollage.co.in,",9.7435287; 77.1108088
Sree Sankaracharya Computer Centre,College,Kerala, Kattappana; Thekkady Road Kattappana; 685508,,"sreesankaracharyapvtltd@gmail.com,sreesankaracharyaotp@gmail.com,agm@sreesankaracharya.com,",9.7493014; 77.1153703
Govt. College,College,Kerala,Kattappana Idukki Colony; Main Road Idukki Colony; 685602,,"principal@gectcr.ac.in,principalgcksd@gmail.com,info@mahdinonline.com,dir.colledn@kerala.gov.in,kgptc@yahoo.com,govtcollegepnr@gmail.com,dcedirectorate@gmail.com,payyanurcollege@rediffmail.com,",9.760826; 77.106453
Jawaharlal Nehru Institute Of Arts & Science (JNIAS),College,Kerala, Balagram; Balagram; 685552,,"jibin@jnias.com,nithin@jnias.com,",9.7906534; 77.2094843
PLAN B CONSULTANTS AND BRUCE OVERSEAS EDUCATION,College,Kerala,Back Of Sri Saraswathi Devi Temple Thattarambalam Thattarambalam; Haripad Road Thattarambalam; 690103,8460375550.0,"roc.chennai@mca.gov.in,",9.251397386056; 76.520673260083
Datatec Institute Of Management And Technology,College,Kerala,Pulimood junction Mavelikara; Datatec Building Mavelikara; 690101,9054766931.0,"datatecmvk@gmail.com,nalandaeachur@gmail.com,rajkodivalap@gmail.com,",9.245753388889; 76.541499777778
Hidayathul Islam Dawa College,College,Kerala, Kovalam Beach; Kovalam Beach Road Kovalam Beach; 695527,,"Thelitcham@dhiu.info,info@dhiu.in,rashidvelimuk@gmail.com,vc@dhiu.info,info@dhiu.info,",8.3893199; 76.9757536
Pinnacle Academy Of Aviation,College,Kerala,Near Federal Bank Attingal; Mamom Attingal; 695101,8460420450.0,"info@pinnacle.ac.in,x3epinnacleacademyhr4@gmail.com,hafismagic@gmail.com,x22pinnacleacademyhr4@gmail.com,pinnacleacademyhr4@gmail.com,",8.68182; 76.824701
University Institute Of Management,College,Kerala, Varkala; Sivagiri Road Varkala; 695141,,"ku.controller@keralauniversity.ac.in,somanmamkuttathil@yahoo.com,cknamcollegekngd@gmail.com,uimkundara@gmail.com,x3ekucc@keralauniversity.ac.in,principal.aims1@gmail.com,",8.7407473; 76.7299352
Sree Narayana College,College,Kerala, Thiruvananthapuram Gpo; Sivagiri Thiruvananthapuram Gpo; 695001,,"principalsngcas@gmail.com,sncollegeforwomen@gmail.com,info@sncollegealathur.com,snc.org@gmail.com,snchathannur@gmail.com,info@sngc.ac.in,snckollam@gmail.com,",8.760247; 76.73942
Government Iti Varkala,College,Kerala,nan; Thachod Road; 695145,,"itivarkala@gmail.com,detkerala@gmail.com,u003eitivarkala@gmail.com,varkkalaiti@gmail.com,",8.7463003; 76.7442082
Sr Medical College,College,Kerala, Vennikkodu; Vennikkodu; 695318,,"u003esrmcrc@gmail.com,govtmcmanjeri@gmail.com,srmcrc@gmail.com,dmekerala@gmail.com,hrsrmcrc@gmail.com,principalmeter@gmail.com,srtrustkerala@gmail.com,sct@sctimst.ac.in,",8.7030885; 76.7564212
Dar Al Arqam Ladies Campus,College,Kerala,nan; Amballoor Chanthavila Road; 695145,,"alihpbh@gmail.com,daralarqamalhind@gmail.com,Alarqamschooluk@gmail.com,safrbl@gmail.com,",8.7579317; 76.7407538
University Institute Of Technology,College,Kerala, Vakkom; Anchuthengu Road Vakkom; 695308,,"somanmamkuttathil@yahoo.com,kucc@keralauniversity.ac.in,x3ekucc@keralauniversity.ac.in,info@rit.ac.in,principal@rit.ac.in,principaluitalp@gmail.com,",8.6923635; 76.7761986
S N Parallel College,College,Kerala, Njekkad; Khadi Road Njekkad; 695143,,"snc.org@gmail.com,krsncollege@gmail.com,info@krssnc.in,principal@sncollegechempazhanthy.org,snnattika@gmail.com,info@sncollegenattika.ac.in,",8.753302; 76.774693
Ipcs Global Attingal,College,Kerala,College Junction Attingal; Attingal Main Road Attingal; 695101,9725498361.0,"attingal@ipcsglobal.com,attingal.ipcs@gmail.com,",8.6873107; 76.8086617
English Star,College,Kerala,Near Old Bus Stand Kalpetta; Kalpetta; 673121,,"admission@alberts.edu.in,mail@alberts.edu.in,event-CCEVENT2023@10072.jpg,mail@vimalacollege.edu.in,shcollegecky@gmail.com,principalshcollegecky@gmail.com,cherthalansscollege@gmail.com,morningstarcsn@gmail.com,morningstarangamaly@yahoo.in,",11.613992; 76.0826016
St. Joseph Institute Of Medical Education,College,Kerala,Near Taluk Gov Hospital Adimali; Kerala Adimali; 685561,7383064349.0,"principal@sjpharmacycollege.org,stjosephttiforwomen@gmail.com,info@stjosephs.edu.in,sjcdevagiri@yahoo.co.in,stjosephinstitute.org@gmail.com,",10.0132944444; 76.95725
Sreenarayana Arts & Science College,College,Kerala, Kumarakom Kottayam; Kumarakom Kottayam; 686563,,"sncollege.kedamangalam@gmail.com,",9.6137667; 76.4320484
Prizite Academy PVT LTD,College,Kerala,Oppsite to Police Training Ground Vazhuthacaud; Vidya Nagar Vazhuthacaud; 695014,,"sos.colledn@kerala.gov.in,capekerala@gmail.com,",8.4961781; 76.9595648
Uei Global,College,Kerala,Near Modern Book Centre Pulimoodu; Pulimoodu Pulimoodu; 695001,7947267928.0,"info@collegefunda.com,info@uei-global.com,",8.493836; 76.948747
The Dale View,College,Kerala,Pharmacy College Punalal; Punalal Punalal; 695575,7487993548.0,"dvpharma@gmail.com,info@daleviewcollege.com,",8.542052777778; 77.094713888889
All INDIA Academy,College,Kerala,Near Rose Opticals Vellayambalam; Main Road Vellayambalam; 695010,,"somanmamkuttathil@yahoo.com,kucc@keralauniversity.ac.in,x3ekucc@keralauniversity.ac.in,capekerala@gmail.com,sdekeralauniversity@gmail.com,mail@keralavarma.ac.in,principal@vidyaacademy.ac.in,sdetechnicalhelp@gmail.com,caoshe@gmail.com,sdedirectorkeralauniversity@gmail.com,",8.5116813; 76.9634776
MOUNT ROYAL COLLEGE,College,Kerala,nan; nan; 685618,04868 235 000,"Emailmountroyalcollege@gmail.com,mountroyalcollege@gmail.com,info@mountroyalcollege.edu.in,ho@munnarcateringcollege.edu.in,admin@royalgroupindia.in,",10.0367695; 77.1772737
Sanjo College Rajakkad,College,Kerala, Anachal; Rajakad Road Anachal; 685565,085474 89448,"u003esrjosmy5@gmail.com,scmas@sanjocollege.edu.in,viceprincipal@sanjocollege.edu.in,sanjocollege@gmail.com,u003e_basilbaby@gmail.com,srjosmy5@gmail.com,basilbaby@gmail.com,",9.9766151; 77.0832115
Ssm College Rajakkad,College,Kerala, Chemmannar; Mangathotty Road Chemmannar; 685554,094473 40035,"ssm@nimsmedicity.org,Emailssmcollegerajakkad@gmail.com,ssmcollegerajakkad@gmail.com,",9.9556312; 77.1277356
Guiders Point,College,Kerala,Opp Edison Electricals Rajakad; Central Junction Rajakad; 685566,,"principaldmck@gmail.com,kucc@keralauniversity.ac.in,x3ekucc@keralauniversity.ac.in,dir.colledn@kerala.gov.in,dcedirectorate@gmail.com,info@mgits.ac.in,gmciprincipal@gmail.com,",9.964597935; 77.1000335135
NSS College,College,Kerala, Rajakumari; Rajakumari; 685619,,"principal@vtmnsscollege.ac.in,rsindhu@nssce.ac.in,support@nsscollegeottapalam.org,cherthalansscollege@gmail.com,nsscollegenemmara@gmail.com,nssce@nssce.ac.in,grievancensscherthala@gmail.com,nsscollegemji@gmail.com,",9.9627484; 77.1713073
Government Arts And Science College,College,Kerala,nan; Bison Valley Pooppara Road; 685619,,"principalgcuduma@gmail.com,principalgasco@gmail.com,gctavanur@gmail.com,gctavanur.dce@kerala.gov.in,kondottygc@gmail.com,gckunnamangalam@gmail.com,ametrust@gmail.com,u003e_gctavanur@gmail.com,gcktda@gmail.com,u003ekondottygc@gmail.com,gasckkdprincipal@gmail.com,",9.9725104; 77.191497
Carmelgiri College,College,Kerala, Adimali; Stellamaris Road Adimali; 685561,097451 81899,"carmelgiricollege@gmail.com,Emailcarmelgiricollege@gmail.com,",10.010706; 76.959282
Mar Baselius College,College,Kerala, Adimali; baselios College road Adimali; 685561,,"linjuannjacob@baselius.ac.in,principal@baselius.ac.in,elsacmariasebastian@baselius.ac.in,mbcet@mbcet.org,",10.003306; 76.9604938
Stellamaris College Adimaly,College,Kerala, Adimali; Polinjapalam Adimali; 685561,,"sasitha@stellamariscollege.edu.in,arafacollege.info@gmail.com,info@smccimail.com,principal@stellamariscollege.edu.in,carmelgiricollege@gmail.com,sojanag@gmail.com,dollythomas@stellamariscollege.edu.in,",10.0104443; 76.9609237
Andriya College,College,Kerala, Adimali; Adimali; 685561,,"mail@alberts.edu,andrea@claretcollege.edu.in,mail@depaul.edu.in,elaizachf@yahoo.com,ivanios@md2.vsnl.net.in,info@mic.ac.in,",10.0115524; 76.9569091
Pavanatma College,College,Kerala, Murikkassery Idukki; Murikkassery Idukki; 685604,,"pavanatmamathematics@gmail.com,pavanatma@yahoo.co,mathematics@pavanatmacollege.org,pavanatmacollegem@gmail.com,pavanatma@yahoo.co.in,",9.910844; 77.0155549
Sndp Yogam Training College,College,Kerala, Adimali; Adimaly Idukki Adimali; 685561,04864 223 874,"sndpkalichanadukkam@gmail.com,rsmsndpyogamcollege@yahoo.com,sndpcollegeadimali@gmail.com,pgbtsas@gmail.com,sndpcollege@gmail.com,",10.0161116; 76.9469369
Relent Annex2,College,Kerala, Adimali; Adimali; 685561,,"min.lsgd@kerala.gov.in,",10.0159674; 76.9533814
Mar Sleeva College Of Arts And Science,College,Kerala, Rajamudi; Vathikudy Rajamudi; 685604,094963 02778,"marsleeva@gmail.com,marsleevacollege@gmail.com,",9.8866212; 77.0293156
Ihrd College Of Applied Science,College,Kerala, Nedumkandam; Sh40 Nedumkandam; 685553,,"casadoor@ihrd.ac.in,casthiruvambadi.ihrd@gmail.com,caskozhikode@ihrd.ac,casdhanuvachapuram@ihrd.ac.in,casadoor@gmail.com,caskozhikode@ihrd.ac.in,",9.8405303; 77.1533427
Confidence Group Of Institutions,College,Kerala,Near Pvt Bustand Nedumkandam; Nedumkandam; 685553,,"manager@sngist.org,principal@sngist.org,",9.8431076; 77.1508984
Deepti College Nedumkandam,College,Kerala, Nedumkandam; Nedumkandam; 685553,,"deepthinursingcollege@gmail.com,drshylaanil@gmail.com,",9.837986; 77.1480061
