Name,Sector,City,Address,Phone,Email,Lat-Long
Little Flower English Medium Higher Secondary School,School,Kerala, Edava; Little Flower Edava; 695311,,"edavalittleflower@gmail.com,",8.7586473; 76.7001772
Vyasa Vidya Bhavan,School,Kerala, Machel; Machel Machel; 695570,,"XXXX@XXXXXX.XXX,vyasavidyabhavan@gmail.com,sreepadamsreekumar@gmail.com,",8.490152; 77.0494365
Lords School,School,Kerala,Aruvikarakonam Panthalakkode; Panthalkodu Po Panthalakkode; 695028,,"LORDSJUNIORSCHOOL@GMAIL.COM,info@lordsschool.in,sushmatush@gmail.com,lordsvply@gmail.com,",8.577783333333; 76.960352777778
World Magic Mithra,School,Kerala,Opposit Town Hall Aralumoodu; Alummoodu Aralumoodu; 695123,,"jayakeralachry@gmail.com,mala_malhotra@yahoo.com,roc.chennai@mca.gov.in,Mommyandvihaan@gmail.com,",8.404339; 77.08368
Global Kids International Montessori School,School,Kerala,Near Federal Bank Kaniyapuram; Main Road Kaniyapuram; 695301,,"bluemountimttc@gmail.com,bambinokowdiar@gmail.com,info@bambinokidz.com,",8.5845344; 76.8615394
Dr. Yesodharan's Arsha International Model School,School,Kerala,Near Devi Temple Kallingal Nedumangadu; Karipoor Road Nedumangadu; 695541,,"ob0908113nios@gmail.com,arshainternationalschool@gmail.com,",8.6049296; 77.0091275
Kalyan School And Day Care,School,Kerala,Edacode Nemam; Sivaji Nagar Nemam; 695020,,"kalyanschool@gmail.com,admin@trinitykalyan.com,priyabalan2000@yahoo.com,",8.45727; 77.0002
A2Z DRIVING SCHOOL & INSTITUTE OF HEAVY EQUIPMENTS ITC,School,Kerala, Willingdon Island; A2Z BUILDING Willingdon Island; 682003,7947270317.0,,9.93881; 76.269986
Rajagiri Seahore Cmi School,School,Kerala,South Malipuram P O Vypin Azheekal; Rajagiri Road Azheekal; 682508,,"shprovince@hotmail.com,rajagirist.chavara@gmail.com,rajagirips@gmail.com,",9.9966509; 76.2329078
Little Legend Nursery and Pre School,School,Kerala, Maradu; Upasana Nagar Maradu; 682304,8460396481.0,"info@hellosamkids.com,littlelegendschool@gmail.com,",9.952741; 76.3279653
St Marys Anglo Indian Girls High School,School,Kerala, Kochi; Bastian Road Kochi; 682001,,"sjaighss@gmail.com,stmarys.aihss@gmail.com,stmarys1889@gmail.com,u003estmarys1889@gmail.com,stjosephstpn@gmail.com,",9.9655682; 76.2424493
Delta Study,School,Kerala,Opp Fort Kochi Policestation Kochi; Fort Kochi Kochi; 682001,,"principal@deltastudy.org,deltastudyoffice@deltastudy.org,",9.966064; 76.243386
Santa Cruz High School,School,Kerala, Kochi; Santa Cruz road Kochi; 682001,,"santacruz930678@gmail.com,santacruz_hss@yahoo.com,XXXX@XXXXXX.XXX,santacruzhss@yahoo.com,santacruzsavior@gmail.com,",9.9642298; 76.2419053
St John De Britto Anglo Indian High School,School,Kerala,Near Cochin Fort Kochi; Kochi; 682001,,"mmquickerala@gmail.com,",9.9631365; 76.2399456
Tirumala Devaswom Higher Secondary School,School,Kerala, Mattancherry; Road Mattancherry; 682002,,"jairanips@yahoo.com,enquiry@gosripuram.org,lakefordschool@gmail.com,",9.9587657; 76.2517003
St Pauls English Medium School,School,Kerala, Kochi; Tower road Kochi; 682001,,"stpaulscehss@gmail.com,stpaulspublicschool@gmail.com,binduedathattel@gmail.com,u003estpaulsenglishmedium777@gmail.com,mail@stpaulsenglishschool.com,stpaulsenglishmedium777@gmail.com,",9.9673082; 76.2458826
Horizo Public School,School,Kerala,Near Euro Kids Kakkanad; Civil Line Road Kakkanad; 682030,8460509038.0,"u003eoffice@thehorizonschool.com,registrar@newhorizonindia.edu,office@thehorizonschool.com,office@horizonpublicschool.co.in,principal@newhorizonindia.edu,principal@thehorizonschool.com,",10.0242969; 76.3419273
Kidzee (Kakkanad),School,Kerala, Thrikkakara; & Reliance Fresh Thrikkakara; 682021,,"kidzee1538@kidzee.com,kidzee.kakkanad@yahoo.com,u003ekidzee2606@kidzee.com,kidzee2606@kidzee.com,care@kidzee.com,",10.0178603; 76.3310183
Al - Ameen Public School Sreemoolanagaram Aluva,School,Kerala,Aluva Kalady Road Aluva; Sreemoolanagaram Aluva; 683101,7411552871.0,"mail@al-ameen.ac.in,alameensree@gmail.com,kavithasantony@gmail.com,",10.101192; 76.362018
Aasia Bai Higher Secondary School,School,Kerala, Mattancherry; Iqbal Library Road Mattancherry; 682002,,"schools@indcareer.com,aasiabai.2007@gmail.com,u003eaaiaabai2007@gmail.com,aaiaabai2007@gmail.com,mmquickerala@gmail.com,",9.9631102; 76.2554537
Sri Gujarathi Vidyalaya High School,School,Kerala, Mattancherry; No.2180 Mattancherry; 682002,,"sri-gujarathi-vidyalaya-higher-secondary-school-kozhikode-h6htqww@n.html,silverhillshss@gmail.com,gujarathividhyalayam@gmail.com,",9.959755; 76.255367
Loretto School,School,Kerala, Kochi; Moolamkuzhi Mundamveli Kochi; 682001,,"contact@loretoshillong.in,schoolloretto@yahoo.in,",9.9384607; 76.2494282
Government Higher Secondary School,School,Kerala, Devikulam; Devikulam; 685613,,"govt.boys.hss.mavelikkara@gmail.com,directorhse.ker@gmail.com,jd2hse.dge@kerala.gov.in,aohse.dge@kerala.gov.in,min.edu@kerala.gov.in,ghsskltr@gmail.com,rddtvm.dge@kerala.gov.in,secy.gedu@kerala.gov.in,jd1hse.dge@kerala.gov.in,gmrskalpetta@gmail.com,gmhssvarkala.varkala@gmail.com,hitcchorod9@gmail.com,",10.0639345; 77.1093181
Govt. HR Sec School,School,Kerala, Devikulam; Devikulam; 685613,,"contact@kite.kerala.gov.in,govthssnta@yahoo.co.in,govt.vhssmogral@gmail.com,ghssk639@gmail.com,x3escertkerala@gmail.com,ghssokl@gmail.com,x3edirector.dge@kerala.gov.in,min.edu@kerala.gov.in,secy.gedu@kerala.gov.in,ict.dge@kerala.gov.in,hmtharuvana@gmail.com,x3econtact@kite.kerala.gov.in,scertkerala@gmail.com,director.dge@kerala.gov.in,x3esecy.gedu@kerala.gov.in,",10.0641906; 77.1089467
Tagore Mount School,School,Kerala, Pallivasal; Pallivasal; 685565,,"tmschool@md4.vsnl.net.in,mountthabore@yahoo.com,",10.0362047; 77.0764964
Holy Family Public School,School,Kerala,nan; Kunchithanny; 685565,,"publicschoolholyfamily@gmail.com,holyfamilypschittar@gmail.com,holyfamilyschool2000@gmail.com,holyfamilypublicschoolanchal@gmail.com,",10.0160942; 77.0667418
St.Sebastians High School,School,Kerala, Pottenkad; Pottankadu Pottenkad; 685565,,"ssupschool593@gmail.com,anicadu28044@rocketmail.com,sshsscheenthalar@gmail.com,05042_sshsskadanad@live.com,phssvandiperiyar@gmail.com,",10.0079813; 77.083919
Montfort School,School,Kerala, Idukki Painavu; Idukki Distt Idukki Painavu; 685603,,"montfortschool.chinnakanal@gmail.com,montfortanakkara@gmail.com,joetecch2k2@hotmail.com,Francissg1979@gmail.com,",10.048931; 77.181457
ST Marys Central School,School,Kerala, Chinnakkanal; Rajakumari Chinnakkanal; 685618,,"stmrcstvm@gmail.com,stmrcsk@gmail.com,stmaryrcschool@gmail.com,stmrcstvm@satyam.net.in,josejpurayidam@gmail.com,mailatstmarys@gmail.com,",10.0377531611; 77.1781760654
Government Higher Secondary School Kunchithanni,School,Kerala,Nr Co Op Bank Kunchithanni; No.1/25 Kunchithanni; 685565,,"ddeidk@education.kerala.gov.in,29037ghss@gmail.com,govthsskumily@gmail.com,hitcchorod9@gmail.com,ghsskltr@gmail.com,",10.0088965; 77.0672035
St Joseph's Lp School,School,Kerala, Anakulam; Mankulam Road Anakulam; 685565,,"u003estjosephems@yahoo.com,29202stups@gmail.com,mail@cmicarmel.org,office@dunlaoghairens.ie,pavarattyshrine@gmail.com,stjosephems@yahoo.com,secretarycarmel@gmail.com,josephites14a@gmail.com,x3eoffice@dunlaoghairens.ie,sanjosevlkn@gmail.com,sjttimananthavady@gmail.com,gkmhskaniyaram@gmail.com,",10.000947; 77.065151
St Antony's L.P School,School,Kerala, Anakulam; Devasia Ellackal Anakulam; 685565,,"stantonysjr@gmail.com,aupspazhoor@gmail.com,st.ant.ems@gmail.com,vadakara16002@gmail.com,stantonypublicschool@gmail.com,sjttimananthavady@gmail.com,stantonyspublicschool@gmail.com,gkmhskaniyaram@gmail.com,",9.999849; 77.0654346
Christu Jyothi Public School,School,Kerala, Rajakad; Rajakad Po Idukki Rajakad; 685566,,"kristujyotihss@gmail.com,srtreesamarysh@gmail.com,christujyothichmr@yahoo.co.in,jyothivalley@gmail.com,",9.964622; 77.102552
Government Higher Secondary School Rajakad,School,Kerala, Rajakad; Ponmudi Rajakad; 685566,,"ddeidk@education.kerala.gov.in,ghssrajakad@gmail.com,gmail.com_ghssvtl@yahoo.com,ghssthodupuzha@gmail.com,u003eghssrajakad@gmail.com,hitcchorod9@gmail.com,29043rajakkad@gmail.com,ghssvtl@yahoo.com,ghsskltr@gmail.com,ghss@gmail.com,",9.964091; 77.097365
government vocational higher secondary school,School,Kerala,nan; Rajakumary; 685619,,"panangadvhss@gmail.com,dirvhse@yahoo.com,tamilhsschalai@gmail.com,fohse.dge@kerala.gov.in,dirvhse.dge@kerala.gov.in,ict.dge@kerala.gov.in,ghsskltr@gmail.com,rovhsechngr@yahoo.co.in,vhsths.sby@gmail.com,ghsskty@gmail.com,hitcchorod9@gmail.com,",9.9762975; 77.1591865
Sree Narayana Vilaasam Higher Secondary School,School,Kerala,Near City; Kerala; 685566,,"principal7064@gmail.com,sreedurgavilasamschool@gmail.com,sreenarayanaadmissions@gmail.com,smtghsschelakkara@gmail.com,sdvhssperamangalam@gmail.com,",9.9708633; 77.1145003
St Marys Central School,School,Kerala,Main Road Aruvilanchal; Arivilamchal Aruvilanchal; 685619,,"stmrcstvm@gmail.com,stmrcsk@gmail.com,stmaryrcschool@gmail.com,stmrcstvm@satyam.net.in,josejpurayidam@gmail.com,mailatstmarys@gmail.com,",9.9546081; 77.1444619
Carmel Matha High School,School,Kerala, Koompanpara; Mankadavu Road Koompanpara; 685561,,"carmelghss@gmail.com,ddeidk@education.kerala.gov.in,carmelhsschalakudy@yahoo.com,29046cmhs@gmail.com,",9.9987016; 77.000439
Government Higher Secondary School Vellathooval,School,Kerala, Vellathooval; No.1/418 Vellathooval; 685563,,"ddeidk@education.kerala.gov.in,ghsskltr@gmail.com,ghssvtl@yahoo.com,amaravathyghss@gmail.com,hitcchorod9@gmail.com,29038ghsvellathooval@gmail.com,",9.979713; 77.029438
Govt Model Hss,School,Kerala, Varkala; Main Road Varkala; 695141,,"ghssk639@gmail.com,ghsschinnakal@gmail.com,ghssokl@gmail.com,mrspeermade@gmail.com,40051gmrskpLza@gmail.com,gmhssvarkala.varkala@gmail.com,",8.7323351; 76.7166764
Ghss,School,Kerala, Vettoor; Varkala Kadakkavoor Road Vettoor; 695312,,"jairanips@yahoo.com,govthssnta@gmail.com,ghssperintalmanna@gmail.com,29010ghs@gmail.com,ict.dge@kerala.gov.in,ghss.mathil@gmail.com,ghsspnm@gmail.com,ghss@gmail.com,",8.7123406; 76.7410469
Bharath Public School,School,Kerala,Near Kannamba Varkala; Bharath Public School Varkala; 695141,,"bharathpublicschool@yahoo.com,jyothisbharathpublicschool@gmail.com,jyothiscentralschoolvarkala@gmail.com,",8.7539162; 76.7222694
Kidz Palace Global Smart Pre-School,School,Kerala, Palachira; Kallambalam Road Palachira; 695143,,"info@kidzpalaceuk.com,info@entranceindia.com,",8.736477; 76.745907
Amtti School,School,Kerala, Vettoor; Vettoor-Cherunniyoor Vettoor; 695312,,"ddetvm.dge@kerala.gov.in,sitttr@gmail.com,secy.gedu@kerala.gov.in,gupsmananthavady@gmail.com,min.edu@kerala.gov.in,jd_cdc@yahoo.com,ghstholpetty@gmail.com,",8.7123624; 76.7405575
Shakti Ashram Healing Center,School,Kerala,nan; nan; 695141,,"yoga@sobg.org,admin@phmumbai.com,drvijimohan@gmail.com,",8.7402181; 76.7109392
Govt. Muslim High School,School,Kerala, Varkala; Nadayara Varkala; 695141,,"govt.vhssmogral@gmail.com,35052alappuzha@gmail.com,muslimhss@gmail.com,kallupura@gmail.com,",8.7570196; 76.7233289
Al Fithrah Learning School,School,Kerala, Vettoor; Male Vetoor Road Vettoor; 695312,,"quickeralateam@gmail.com,alfitrahbglr@gmail.com,pattomstmarys@gmail.com,arifthekkil@gmail.com,alfitrahpulikkal@gmail.com,preprimaryschoolsindia@gmail.com,preschool@trins.org,alfitrahcvkd@gmail.com,",8.7105058; 76.7336342
Nice Public School,School,Kerala,Bp Angadi Pulinchod Bettath Pudiangadi; Bp Angadi Bettath Pudiangadi; 676102,8904979777.0,"mail@globalpublicschool.org,contact@ksvp.org,keralaschoolrkpuram@gmail.com,office@saps.ac.in,",10.8792507; 75.9379426
ABC Training Academy,School,Kerala,Near Post Office Malappuram Civil Station; Uphill Malappuram Civil Station; 676505,,"terrafirma.training@yahoo.co.in,abctrainingacademymlp@gmail.com,mmquickerala@gmail.com,kgnanjundappa@gmail.com,",11.04206600889; 76.081229873771
Pkmm Higher Secondary School,School,Kerala, Edarikode; Pottippara Edarikode; 676501,,"school.mangalam43@gmail.com,ghssporuvazhy@gmail.com,pkmmhssedarikode2@gmail.com,principalemea@gmail.com,bv.sivasankar@gmail.com,",11.0018796; 75.9838773
Government Girls High School,School,Kerala,Opposite Of Malappuram Municipality Downhill; Downhill; 676519,,"jairanips@yahoo.com,dth.class12@ciet.nic.in,dth.class9@ciet.nic.in,dth.class6@ciet.nic.in,",11.0480647; 76.071653
Madin Public School,School,Kerala, Malappuram Ho; Malappuram Ho; 676505,,"info@madinps.edu.in,academics@madin.edu.in,pskoyathurakkal@gmail.com,hss@madin.edu.in,nacademics@madin.edu.in,",11.067654; 76.078133
Gvhss Pullanoor,School,Kerala,nan; Sh 28; 676517,,"XXXX@XXXXXX.XXX,jd1hse.dge@kerala.gov.in,gvhss.muvattupuzha@gmail.com,aohse.dge@kerala.gov.in,jd2hse.dge@kerala.gov.in,shajukpengkdbr@gmail.com,",11.1230526; 76.0559836
Devadhar Government Higher Secondary School,School,Kerala, Tanalur; Tanalur; 676307,,"gvhssmadappally@gmail.com,dghsstanur@gmail.com,dghsstanur11004@gmail.com,govthssmavoor@gmail.com,",10.9649487; 75.891175
The Springs Continental School,School,Kerala, Manjeri Kla; Estate Road Manjeri Kla; 676121,,"sdsprings@gmail.com,mail@thespringscontinentalschools.com,",11.1173323; 76.1173991
Ideal Public School,School,Kerala,Bsnl Exchange Kadalundinagaram; Anangadi Kadalundinagaram; 673314,,"mail@idealeducation.org,idealpublicschoolaluva@gmail.com,info@ideal-englishschool.com,idealpublicschoolkul@gmail.com,",11.109255; 75.8351392
Amalambika Convent English School,School,Kerala, Thekkady; Thekkady; 685509,,"amalambika@yahoo.com,info@amalambika.com,amalambika@sancharnet.in,",9.6031879; 77.1614286
St. Thomas English Medium School,School,Kerala, Kumily; - First Mile road Kumily; 685509,,"mail@stemskattanam.org,stthomaspublicschoolmvpa@gmail.com,st_thomasschoolldh@rediffmail.com,stsschool@gmail.com,stemhssattappallam@gmail.com,stneerattupuram@gmail.com,u003email@stemskattanam.org,stemskattanam@yahoo.in,x3est_thomasschoolldh@rediffmail.com,x3estsschool@gmail.com,",9.6179978; 77.156277
Smmi Convent,School,Kerala, Kumily; Labhakandam Kumily; 685509,,"micnagpur@gmail.com,alicejoseph55@gmail.com,generalatsmmi.gentilly@orange.fr,crikeralaregion@gmail.com,rcaidedganjam@gmail.com,dssgeneralateptvm@gmail.com,vincyg.smmi@gmail.com,",9.6039918; 77.1637874
M.A.M Bethany Public School,School,Kerala, Kumily; Chelimada Kumily; 685509,,"mambpschool@gmail.com,",9.6152845; 77.159493
Bethany School,School,Kerala, Kumily; Kumily; 685509,,"bethany_cpushpa@yahoo.com,bethanykkm@gmail.com,bethanyivanios@gmail.com,bethany.ngra@gmail.com,marivanios@yahoo.co.in,stpaulsbethany@gmail.com,mambpschool@gmail.com,ettcomp@md3.vsnl.net.in,",9.6145203; 77.160354
Monkompu Andi Iyer High School,School,Kerala, Murukady; Murukkady Murukady; 685535,,"9@gmail.com,",9.6173473; 77.1351761
Highrange Madrasathul Islamiyya,School,Kerala, Chottupara Periyar; Chottupara Periyar; 685533,,"ddeidukki@gmail.com,75027@cbseshiksha.in,hrs.munnar@tataconsumer.com,ddektm.dge@kerala.gov.in,",9.5856537; 77.1148446
St. Joseph's High School,School,Kerala, Vandiperiyar; Kottayamkumily Road Vandiperiyar; 685533,,"hsschengal@gmail.com,office@dunlaoghairens.ie,sjghss05066@yahoo.com,josephites14a@gmail.com,hmsjhsskallody@gmail.com,stjosephems@yahoo.com,x3eoffice@dunlaoghairens.ie,",9.5754027; 77.0916331
Trinity Garden Public School,School,Kerala, Vandiperiyar; Vandiperiyar; 685533,,"trinitygardenvpr@gmail.com,TRINITYGARDEN@BSNL.IN,TRINITYGARDENVPR@GMAIL.COM,",9.5721121; 77.0895961
Panchayath Higher Secondary School,School,Kerala,Vandiperiyar; Theni Kottarakkara Highway; 685532,,"pgmhsst@gmail.com,",9.5733834; 77.0767559
NSS LP School,School,Kerala, Anakkara; Mannoor Anakkara; 685512,,"XXXX@XXXXXX.XXX,Copyright@nss.org.in,mesktm@gmail.com,ddeidk@education.kerala.gov.in,glpschelachuvadu@gmail.com,nssglpsmanakkad@gmail.com,nssemschool@gmail.com,",9.6646067; 77.1657716
Mont Fort School,School,Kerala, Anakkara; Sh 19 Bypass Anakkara; 685512,,"Francissg1979@gmail.com,montfortschool.chinnakanal@gmail.com,montfortanakkara@gmail.com,",9.6740359; 77.1647655
St. Mary's HSS Vellaramkunnu,School,Kerala, Vellaramkunnu; Kumily Alady Road Vellaramkunnu; 685535,,"principalsmhss@gmail.com,6076sghssk@gmail.com,smhsvellaramkunnu@gmail.com,",9.6365122; 77.1091516
Nehru Smaraka Panchayath High School,School,Kerala, Vandanmettu; Puttady Po Vandanmettu; 685551,,"nsphssputtady@gmail.com,mrsmunnar@gmail.com,ghssmullaringadu@gmail.com,",9.6961642; 77.1604505
St Mary's UP School,School,Kerala, Puttady; Munnarkumily Hwy Puttady; 685551,,"smupsthariode@gmail.com,stmaryschvm@gmail.com,stmarysthuruthiply@gmail.com,",9.6996305; 77.1628243
S N Upper Primary School,School,Kerala,nan; Pothinkandam; 685551,,"gupsmananthavady@gmail.com,ghstholpetty@gmail.com,keralaschoolrkpuram@gmail.com,",9.7486587; 77.1877956
S K M Public School,School,Kerala,Near Subramanyaswami Temple; Kumarakom Vaikom road; 686563,,"info@keralatourism.org,snvpschool@gmail.com,",9.5892584; 76.4299358
Government Vocational Higher Secondary School,School,Kerala, Kumarakom East; Attipeedika Road Kumarakom East; 686563,,"dirvhse@yahoo.com,fohse.dge@kerala.gov.in,panangadvhss@gmail.com,tamilhsschalai@gmail.com,hitcchorod9@gmail.com,rovhsechngr@yahoo.co.in,ghsskltr@gmail.com,ict.dge@kerala.gov.in,vhsths.sby@gmail.com,dirvhse.dge@kerala.gov.in,",9.5872408; 76.4376515
Sree Kumaramangalam Higher Secondary School,School,Kerala, Kattakayam; Sh42 Kattakayam Kattakayam; 686563,,"mmquickerala@gmail.com,info@keralatourism.org,sreekumaramangalampublicschool@gmail.com,",9.596241; 76.4322658
NNC JM LP School,School,Kerala, Kumarakom South; Puthuchara Kumarakom South; 686563,,"principalmmount@gmail.com,jd1hse.dge@kerala.gov.in,brcanthikad@gmail.com,aohse.dge@kerala.gov.in,secy.gedu@kerala.gov.in,glpsabvl@gmail.com,min.edu@kerala.gov.in,jd2hse.dge@kerala.gov.in,",9.5782592; 76.4239025
Government Up School,School,Kerala,nan; Pariyapuram Bankpady; 686563,,"jd1hse.dge@kerala.gov.in,brcanthikad@gmail.com,aohse.dge@kerala.gov.in,ddeklm.dge@kerala.gov.in,jd2hse.dge@kerala.gov.in,gupstharuvana@gmail.com,",9.5827394; 76.4353716
De Paul International Residential School,School,Kerala,Near Mk Padi; Kattapana; 685514,,"dpirskerala@gmail.com,office@dpirs.org,dpriskerala@gmail.com,relations@abhyasaschool.com,enquiries@dpirs.org,x3erelations@abhyasaschool.com,",9.836643194444; 77.056266777778
Depaul Public School,School,Kerala, Thodupuzha; Thodupuzha; 685584,,"depaulpublictdpa@gmail.com,principal@depaulnh.ac.in,depaulpublicschool@gmail.com,",9.899519444444; 76.719661111111
G.H.S Mamalakandam,School,Kerala,nan; nan; 685561,,"ghsmamalakkandam@gmail.com,",10.0898243; 76.8216868
The Village International School,School,Kerala, Thodupuzha; Kumaramangalam Thodupuzha; 685584,,"admissions@villageschool.in,VILLAGEINSCHOOL@YAHOO.COM,mail@villageschool.in,",9.936156; 76.706231
Vimala Public School,School,Kerala,Near Newman School Thodupuzha East; Thodupuzha East; 685585,,"u003evimalapublicschool@yahoo.com,vpstdza@sancharnet.in,vimalapublicschool@yahoo.com,vimalacentralschool@yahoo.co.in,elizecmc@yahoo.com,vimalacentralschool@gmail.com,vimalakuttampuzha@gmail.com,",9.896891; 76.723152
Ossanam English Medium Hss,School,Kerala, Kattappana South; Bypass Road Kattappana South; 685515,,"info@oemhss.in,u003eossanamhss@gmail.com,ossanamhss@gmail.com,info@ossanamschoolkattappana.org,gmail.com_mpsmarykulam@gmail.com,29013shemhs@gmail.com,snemsthoppippala@gmail.com,mpsmarykulam@gmail.com,",9.7499382; 77.1136701
St George Higher Secondary School,School,Kerala, Kattappana South; No.13/1138 Kattappana South; 685515,,"kulathuvayalhss@gmail.com,aruvithurachurch@gmail.com,stgeorgehssputhenpally@gmail.com,stgcbsemnr@rediffmail.com,sghss6017@gmail.com,mshss@gmail.com,46065alappuzha@gmail.com,",9.7481263; 77.1128041
Natyanjali School Of Arts,School,Kerala,Opposite Union Bank Nedumkandam; Nedumkandam; 685553,,"lrubin7777@aol.com,padmamurali@yahoo.com,",9.8385238; 77.1593967
Shanthal Jyothi Public School,School,Kerala, Thodupuzha; Muttom Thodupuzha; 685584,,"shanthaljyothis@gmail.com,principalshanthal@gmail.com,srlizaputhenveedu@gmail.com,u003eshanthaljyothis@gmail.com,",9.839561; 76.747763
ST. George's Higher Secondary School,School,Kerala,Opposite St Georges Forane Church Muthalakodam; Idukki Muthalakodam; 685605,,"kulathuvayalhss@gmail.com,stgeorge6023@gmail.com,46065alappuzha@gmail.com,st.maryskmkd@gmail.com,",9.9109362; 76.7317997
Vijaya Matha School,School,Kerala, Chottupara; Thokkuplam Chottupara; 685552,,"principalvijayamatha@gmail.com,neethuj18@gmail.com,vijayamathachittur@gmail.com,vmpstacademics@gmail.com,office@vijayamathaschool.com,IDvijayam.publicschool@gmail.com,",9.8146331; 77.2026362
Holy Cross Senior Secondary School,School,Kerala, Nedumkandam; Sh40 Nedumkandam; 685553,,"holycrossndkm@gmail.com,holycross15104@gmail.com,mholycrossschool@yahoo.com,plustwohchs@gmail.com,holycrossvidyasadan@gmail.com,mailto@holycrosshss.com,",9.8397966; 77.1491455
Jawahar Navodaya Vidyalayam,School,Kerala, Kulamavu; Kulamavu; 685601,,"u003ejnvernakulam86@gmail.com,jnvernakulam86@gmail.com,",9.7940083; 76.8866218
Mannam Memorial High School,School,Kerala, Nariampara; Kanchiyar Nariampara; 685511,,"mannammemorial@yahoo.co.in,mmrhss@asianetindia.com,stmrcsk@gmail.com,kattukulamhss@gmail.com,nmmrhss@asianetindia.com,mmrhsstvm@gmail.com,",9.7300949; 77.0842489
Petals Day Care N Junior School,School,Kerala,Opposite Reliance Mall Kalarcode; NH Road Kalarcode; 688003,,"support@petalspreschool.com,preprimaryschoolsindia@gmail.com,quickeralateam@gmail.com,",9.466643; 76.3394577
SDV English Medium School,School,Kerala,Near District Court Alappuzha Ho; Santhanam Ward Alappuzha Ho; 688001,,"sdvemhss@yahoo.com,sdvcentralschool@gmail.com,indu@dutt.com,psraghavan13@gmail.com,",9.5019454; 76.3399691
