Name,Sector,City,Address,Phone,Email,Lat-Long
SBI,Banks,Kerala,nan; Vettummal Pathayakkunnu Road; 670691,,"x3ecustomercare@sbicard.com,x3ePrincipalNodalOfficer@sbicard.com,bojammu@rbi.org.in,x3econtactcentre@sbi.co.in,contactcentre@sbi.co.in,customercare@sbi.co.in,agmcustomer.lhoahm@sbi.co.in,bothiruvananthapuram@rbi.org.in,sbi.10564@sbi.co.in,",11.7905496; 75.564889
State Bank Of INDIA,Banks,Kerala, Kannur City; Bank Road Kannur City; 670003,,"bohyderabad@rbi.org.in,contactcentre@sbi.co.in,customercare@sbi.co.in,x3eBoi.neft@bankofindia.co.in,x3eRtgs.boi@bankofindia.co.in,agmcustomer.lhokol@sbi.co.in,x3eBOI.CallCentre@bankofindia.co.in,x3eboi.customerservices@oberthur.com,",11.868487; 75.365981
Kumarakam Co-Operative Bank,Banks,Kerala, Veloothra; Attipeedika Road Veloothra; 686563,,"papresident@keralabank.co.in,keralarcs@co-op.kerala.gov.in,kscb@keralacobank.com,mmquickerala@gmail.com,",9.5881005; 76.4372896
Aramam Fin Nidhi Ltd,Banks,Kerala,Kayamkulam Pullikkanakku; Pullikkanakku; 690537,,"ca.stebin@gmail.com,u003esajin.s333@gmail.com,bfilingsroc@gmail.com,sajin.s333@gmail.com,",9.1777811; 76.5271628
Axis Bank Ltd (Loan Division),Banks,Kerala,Mullackal Junction Chungam; Cullen Road Chungam; 688011,,"Circlenodalofficer.Kerala@axisbank.com,x3eloans@axisbank.com,x3epno@axisbank.com,x3emerchant.helpdesk@axisbank.com,loans@axisbank.com,pno@axisbank.com,merchant.helpdesk@axisbank.com,",9.498005; 76.343076
Federal Bank - Sultan Bathery Branch,Banks,Kerala, Sulthan Bathery; Thaloor Road Sulthan Bathery; 673592,04936 220 259,"creditcards@federalbank.co.in,mobilesupport@federalbank.co.in,x3ecreditcards@federalbank.co.in,x3econtact@federalbank.co.in,SUB@FEDERALBANK.CO.IN,Sub@federalbank.Co,SUB@federalbank.co.in,nridiv@federalbank.co.in,x3emobilesupport@federalbank.co.in,contact@federalbank.co.in,x3enridiv@federalbank.co.in,",11.6591426; 76.2560982
ICICI Bank Limited,Banks,Kerala, Kalpetta; Main Road Kalpetta Kalpetta; 673121,,"x3eCustomer.care@icicibank.com,customer.care@icicibank.com,digitallending@icicibank.com,x3ecustomer.care@icicibank.com,x3edigitallending@icicibank.com,x22customer.care@icicibank.com,Customer.care@icicibank.com,",11.6042973; 76.0841498
Kalliyoor Service Cooperative Bank,Banks,Kerala," Kalliyoor; Thiruvananthapuram,Kalliyoor; 695042",,"kkdro@keralabank.co.in,keralarcs@co-op.kerala.gov.in,",8.4325397; 77.0164964
Uco Bank Koithoorkonam,Banks,Kerala, Koithurkonam; Koithoorkonam Koithurkonam; 695584,1800 103 0123,"x3ehoatm.calcutta@ucobank.co.in,horetail.calcutta@ucobank.co.in,koitho@ucobank.co.in,hoatm.calcutta@ucobank.co.in,uco.custcare@ucobank.co.in,",8.6267002; 76.872007
Ooruttambalam Service Co Operative Bank Ltd (Head Office),Banks,Kerala, Ooruttambalam; Ooruttambalam; 695507,,"papresident@keralabank.co.in,kkdro@keralabank.co.in,ayancheriscb@gmail.com,",8.4600737; 77.0588746
State Bank Of India (Life Insurance Branch),Banks,Kerala,Nr Chettikulangara Temple Chettikulangara; Chettikulangara; 695001,,"gro.kerala@sbilife.co.in,info@sbilife.co.in,contactcentre@sbi.co.in,customercare@sbi.co.in,x3einfo@sbilife.co.in,x22info@sbilife.co.in,",8.4895125; 76.9452089
Reserve Bank Of India,Banks,Kerala, Pmg Junction; Bakery Junction Pmg Junction; 695033,,"cms.botrivandrum@rbi.org.in,crpc@rbi.org.in,JohnSmith@rbi.org.in,cms.boguwahati@rbi.org.in,bojammu@rbi.org.in,x3ecrpc@rbi.org.in,CRPC@rbi.org.in,x22crpc@rbi.org.in,cms.bochandigarh@rbi.org,",8.5016826; 76.9540301
Muthoot Fincorp,Banks,Kerala,Opposite Padma Stores Thiruvananthapuram Fort; Road Thiruvananthapuram Fort; 695023,,"4911560customercare@muthoot.com,John.Smith@muthoot.com,investor.cell@sbicaptrustee.com,Customercare@muthoot.com,",8.4847006; 76.946928
Kotak Mahindra Bank,Banks,Kerala,Near Althara Temple Vellayambalam; Vellayambalam; 695010,,"itsecurity.bank@kotak.com,Kprime.service@kotak.com,jane.doe@kotak.com,x3eservice.cards@kotak.com,x3eitsecurity.bank@kotak.com,x3ecare@kotak.com,care@kotak.com,x3eKprime.service@kotak.com,x3eservice.securities@kotak.com,x3ejane.doe@kotak.com,service.securities@kotak.com,service.cards@kotak.com,",8.5099503; 76.962746
Federal Bank (Br.),Banks,Kerala, Palayam; Campus Palayam; 695034,,"x3eCNN@FEDERALBANK.CO.IN,.in_creditcards@federalbank.co,creditcards@federalbank.co.in,mobilesupport@federalbank.co.in,u003e_nridiv@federalbank.co,.in_contact@federalbank.co.in,support@federalbank.co.in,nridiv@federalbank.co.in,u003emobilesupport@federalbank.co.in,contact@federalbank.co.in,",8.5057063; 76.9505325
Mahindra Home Finance,Banks,Kerala,nan; nan; 695017,,"einward.ris@kfintech.com,x3eJSmith@mahindrafinance.com,JSmith@mahindrafinance.com,John.Smith@mahindra.com,share.mmfsl@mahindra.com,x3eJohn.Smith@mahindra.com,",8.5481025; 76.9190943
Kerala State Co Operative Bank Ltd,Banks,Kerala, Idukki Colony; Road Idukki Colony; 685602,,"namd@keralabank.co.in,inspection@keralabank.co.in,kscbhob@gmail.com,kscb@vsnl.com,boardsecretariat@keralabank.co.in,amd@keralabank.co.in,kscardbroekm@gmail.com,",9.8619098; 76.9615751
Thopramkudy Service Cooperative Bank,Banks,Kerala, Thekkady; Thopramkudy Thekkady; 685509,,"papresident@keralabank.co.in,keralarcs@co-op.kerala.gov.in,kscb@keralacobank.com,",9.8776354; 77.056244
Mattancherry Sarvajanik Co Operative Bank Ltd,Banks,Kerala, Mattancherry; No 3284 Mattancherry; 682002,,"msarvajanik@rediffmail.com,msarvajanikplty@gmail.com,msarvajanikmlky@gmail.com,",9.9578533; 76.2480414
Maharashtra State Cooperative Bank,Banks,Kerala, Mattancherry; Kochi Mattancherry; 682002,,"Pradip.vora@gscbank.coop,hr@keralabank.co.in,kscbhob@gmail.com,kb@keralabank.co.in,kscb@vsnl.com,mscclg@gmail.com,",9.957803; 76.255894
M M C Bank Ltd,Banks,Kerala, Mattancherry; Palliyarakkavu Rd Mattancherry; 682002,,"ho@mscub.com,puriucb.ltd@gmail.com,branch1@mcubank.com,it@keralabank.co.in,ceo@kmcbank.com,kkdro@keralabank.co.in,dbit@keralabank.co.in,",9.953807; 76.255689
Catholic Syrian Bank,Banks,Kerala, Kochi; Kunnumpuram Kochi; 682001,,"newinthomas@csb.co.in,netbanking@csb.co.in,x22customercare@csb.co.in,customercare@csb.co.in,x3ecustomercare@csb.co.in,u003enetbanking@csb.co.in,branchservice@csb.co.in,",9.9646766; 76.2453622
Muthoot Finance Ltd,Banks,Kerala, Mattancherry; G Palace Rd Mattancherry; 682002,,"mails@muthootgroup.com,",9.955558; 76.2556904
Bank Of India Manjeri,Banks,Kerala,nan; No 70 -676121; 682001,0483 276 9837,"x3eBOI.CallCentre@bankofindia.co.in,manjeri.kerala@bankofindia.co.in,bmcoch4949@centralbank.co.in,BOI.CallCentre@bankofindia.co.in,",9.95052; 76.2435
Dena Bank Now Bank Of Baroda,Banks,Kerala,Bazar Road Mattancherry; Mattancherry; 682002,,"x3ezm.rajkot@bankofbaroda.com,zm.mgz@bankofbaroda.com,gm.ops.ho@bankofbaroda.com,zm.rajkot@bankofbaroda.com,x3ezm.mgz@bankofbaroda.com,x3egm.ops.ho@bankofbaroda.com,x3egm.em.bcc@bankofbaroda.com,gm.em.bcc@bankofbaroda.com,",9.9565902843; 76.2537901689
Allahabad Bank,Banks,Kerala,nan; Road; 682002,,"u003ecustomercare@allahabadbank.in,customercare@allahabadbank.in,",9.9565902843; 76.2537901689
Vettor Service Co-Operative Bank,Banks,Kerala, Vettoor; Vettoor; 695312,,"vettomscb@gmail.com,papresident@keralabank.co.in,kscbhob@gmail.com,ayancheriscb@gmail.com,kscb@vsnl.com,ceokeralastate@gmail.com,",8.7166683; 76.7403881
Vanchinad Finance Pvt Ltd,Banks,Kerala, Palachira; Thettikulam Road Palachira; 695143,,"info@vanchinadfinance.com,gl_ettumanoor@vanchinadfinance.com,",8.730096; 76.7413311
Co-Operative Service Bank,Banks,Kerala, Edava; Vettakada Edava; 695311,,"paceo@keralabank.co.in,onchiyamscbank@gmail.com,anamangadscb@gmail.com,kscbkadirur@gmail.com,keralarcs.coop@kerala.gov.in,inspection@keralabank.co.in,papresident@keralabank.co.in,kscbhob@gmail.com,info@calicuturbanbank.com,olari@thrissurscb.com,kscb@vsnl.com,",8.759235; 76.6995773
Chemmaruthy Service Co Operative Bank,Banks,Kerala, Sreenivasapuram; Panayara Po Sreenivasapuram; 695145,0470 260 2702,"papresident@keralabank.co.in,paceo@keralabank.co.in,",8.7592958; 76.7547456
Vilayil Finance,Banks,Kerala,nan; nan; 695143,,"ksfe113@dataone.in,kala100389@kerala.gov.in,",8.7439412; 76.7600396
Ottoor Service Co-Operative Bank,Banks,Kerala,nan; Manamboor Nalumukku Road; 695143,0470 269 5007,"kscb@vsnl.com,papresident@keralabank.co.in,kscbhob@gmail.com,paceo@keralabank.co.in,",8.7529177; 76.7766323
Krishna Finance,Banks,Kerala, Manambur; Manaboor Varkala Manambur; 695611,,"info@radhakrishnafinance.com,rfpl.kipb@gmail.com,mmquickerala@gmail.com,",8.7318719; 76.7857779
Indian Overseas Bank - Ayiroor Varkala,Banks,Kerala, Ayirur Varkala; Bakamon Panchayat Ayirur Varkala; 695310,0470 266 7608,"iob0374@iob.in,x3emdd@iobnet.co.in,iob0339@iob.in,ayirubr@trisco.iobnet.co.in,atmcard@iobnet.co,atmcard@iobnet.co.in,",8.77364; 76.723396
State Bank of India (Nri Branch),Banks,Kerala,Above Sbi Nri Branch Near Bus Stand Kottakkal; Kottakkal; 676503,,"sbi.16069@sbi.co.in,x3enridesk.lucknow@sbi.co.in,sbi.04053@sbi.co.in,x3enridesk.ahmedabad@sbi.co.in,contactcentre@sbi.co.in,customercare@sbi.co.in,sbi.07019@sbi.co.in,x3enridesk.banglore@sbi.co.in,",11.0038327; 76.0054273
Malanadu Service Co-Operative Bank,Banks,Kerala, Elappara; Hill Highway Elappara; 685501,,"paceo@keralabank.co.in,papresident@keralabank.co.in,kscbhob@gmail.com,kscb@vsnl.com,pscbk186@gmail.com,",9.6305273; 76.97824
Asco Bank,Banks,Kerala, Moolamattom; Vagamon Road Moolamattom; 685589,,"anicaduscb1550@gmail.com,kkdro@keralabank.co,it@keralabank.co.in,dbit@keralabank.co.in,",9.7765578; 76.8508304
Naduvathanil Bankers,Banks,Kerala, Marykulam; Marykulam; 685507,094951 93387,"vreveendran@gmail.com,papresident@keralabank.co.in,ficell.kgb@keralagbank.com,gm6@keralagbank.com,",9.6974414; 77.0401075
Peermade Taluk Cooperative Agricultural & Rural Development Bank Ltd,Banks,Kerala, Elappara; Elappara; 685501,,"peermadeagribank@gmail.com,peermadeagri.bank@gmail.com,",9.6325826636; 76.9818851523
Idukki District Co-Operative Bank Labbakkada Branch,Banks,Kerala, Kanchiyar; Kanchiyar; 685511,04862 235 291,"idcb@idukkidcb.in,",9.7370705; 77.0613516
Unimoni Financial Services Ltd,Banks,Kerala,nan; Thrissur TB Road; 680022,,"customercare.india@unimoni.com,x3ecustomercare.india@unimoni.com,info+unimoni@wizzfinancial.com,",10.5139768; 76.2118704
South Indian Bank Ltd (Registered Office),Banks,Kerala,Near Mission Quarters; T B Road; 680001,,"Emal-sibcorporale@sib.co.in,o1001@sb.co.in,lea@sib.co.in,customercare@sib.co.in,x3ecustomercare@sib.co.in,fmcell@sib.co.in,sibcorporate@sib.co.in,u003esibcorporate@sib.co.in,",10.5137017; 76.2182643
South Indian Bank Headquarters,Banks,Kerala, Mission Quarters; T.B Road Mission Quarters; 680006,0487 242 0020,"br0721@sib.co.in,br0007@sib.co.in,lea@sib.co.in,customercare@sib.co.in,br0118@sib.co.in,x3ecustomercare@sib.co.in,fmcell@sib.co.in,br0821@sib.co.in,",10.5136503; 76.2182455
DCB Bank,Banks,Kerala, West Fort; MG Road West Fort; 680004,,"x22customercare@dcbbank.com,DDAS@DCBBANK.COM,ajay.bhamare@dcbbank.com,customercare@dcbbank.com,x3ecustomercare@dcbbank.com,bomumbai2@rbi.org.in,",10.5232219; 76.2054938
Vadakke Madham Brahmaswam Office,Banks,Kerala, Thrissur HO; Marar Road Thrissur HO; 680001,0487 244 0877,"papresident@keralabank.co.in,",10.5229348; 76.2090827
