Name,Sector,City,Address,Phone,Email,Lat-Long
Federal Bank - Pazhayangadi Branch,Banks,Kannur,Near South Bazar Road; Bus Stand Road South Bazar Road; 670002,0497 287 2035,"x3eCNN@FEDERALBANK.CO.IN,creditcards@federalbank.co.in,mobilesupport@federalbank.co.in,x3ecreditcards@federalbank.co.in,x3econtact@federalbank.co.in,contact@federalbank.co,x3emobilesupport@federalbank.co.in,nridiv@federalbank.co.in,CNN@FEDERALBANK.CO.IN,contact@federalbank.co.in,pzg@federalbank.co.in,x3enridiv@federalbank.co.in,",12.026029; 75.261354
IDBI Bank,Banks,Kannur,Opp Civil Station Kannur Ho; Thavakkara Road Kannur Ho; 670001,0497 276 4405,"x3eCNN@FEDERALBANK.CO.IN,IBKL0000340@idbi.co,customercare@idbi.co.in,x3ecustomercare@idbi.co.in,jayanarayan@idbi.co.in,CNN@FEDERALBANK.CO.IN,",11.873684; 75.372087
The Kottayam District Co Operative Bank Ltd,Banks,Kottayam,nan; Attamangalam Commercial Complex; 686563,,"ktmro@keralabank.co.in,vengadscb@gmail.com,ktmrm@keralabank.co.in,",9.592594; 76.4358539
Ideal Bankers,Banks,Kottayam,"Near Aymanam; Kottayam,Aymanam; 686015",,"mmquickerala@gmail.com,",9.6141041; 76.4978024
Punjab National Bank,Banks,Kottayam," Kottayam HO; Kottayam,Kottayam HO; 686001",,"complaint@pnb.co.in,bo0207@pnb.co.in,x3ecare@pnb.co.in,creditcardpnb@pnb.co.in,care@pnb.co.in,bo4299@pnb.co.in,bo2982@pnb.co.in,x3ecreditcardpnb@pnb.co.in,",9.60087; 76.509354
Karapuzha Service Co Operative Bank LTD BR Thazhathangady,Banks,Kottayam,"Thiruvathukkal Kottayam HO; Kottayam,Kottayam HO; 686001",,"kkdro@keralabank.co.in,mahaveerbank@yahoo.com,scbkarapuzha@gmail.com,",9.60087; 76.509354
Kottayanm District Co Operative Bank,Banks,Kottayam,"Central Jn Kottayam HO; Kottayam,Kottayam HO; 686001",,"kottayamscb@gmail.com,kkdro@keralabank.co.in,",9.60087; 76.509354
Fedaral Bank,Banks,Kottayam,"Central Jn Kottayam HO; Kottayam,Kottayam HO; 686001",,"creditcards@federalbank.co.in,mobilesupport@federalbank.co.in,x3ecreditcards@federalbank.co.in,x3econtact@federalbank.co.in,play@federalbank.co,support@federalbank.co.in,nridiv@federalbank.co.in,x3emobilesupport@federalbank.co.in,contact@federalbank.co.in,x3enridiv@federalbank.co.in,",9.60087; 76.509354
Cathilic Bank Of India LTD,Banks,Kottayam,"Central Jn Kottayam HO; Kottayam,Kottayam HO; 686001",,"Kottayam@csb.Co.In,mobilebanking@csb.co.in,townbank.bankroad@gmail.com,x22customercare@csb.co.in,ktcbltd@gmail.com,customercare@csb.co.in,x3ecustomercare@csb.co.in,branchservice@csb.co.in,kottayam@csb.co.in,",9.60087; 76.509354
Kidarakuzhi Service Co Op Bank,Banks,Thiruvananthapuram," Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",,"papresident@keralabank.co.in,kklmkscb3064@gmail.com,",8.382399; 76.988373
Thiruvananthapuram District Co Operative Bank Ltd,Banks,Thiruvananthapuram,"Near Aiswarya Studio Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",,"papresident@keralabank.co.in,tvmdcb@gmail.com,tdcb002@gmail.com,",8.383015583333; 76.993255583333
Service Sahakarana Bank,Banks,Thiruvananthapuram," Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",,"ayancheriscb@gmail.com,papresident@keralabank.co.in,tvmdcb@gmail.com,kklmkscb3064@gmail.com,",8.3819549; 76.9940707
Venganoor Co-Operative Bank,Banks,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",0471 248 4343,,8.4123936; 77.0088487
Akshaya Finance,Banks,Thiruvananthapuram,nan; Thiruvananthapuram; 695020,,"fo.akshaya@kerala.gov.in,aspo.akshaya@kerala.gov.in,",8.4410147; 77.0022343
Corporation Zonal Office Thiruvallam,Banks,Thiruvananthapuram,"Near Model College Thiruvallam Junction; Thiruvananthapuram,Thiruvallam Junction; 695027",,"agmoad.lhotri@sbi.co.in,",8.4415265; 76.9562269
Standard Chartered Bank,Banks,Thiruvananthapuram,Opposite to Trivandrum Club Vazhuthacaud; Vazhuthacaud; 695010,,"x3eHead.Service@sc.com,Head.Service@sc.com,Mahesha.M@sc.com,customer.care@in.standardchartered.com,Priority.Banking@sc.com,customer.care@sc.com,amankumar.rayet@sc.com,card.services@sc.com,",8.5051583; 76.9605929
Vakkom Rural Co Operative Society,Banks,Varkala, Vakkom; Vakkom Main Road Vakkom; 695308,,"papresident@keralabank.co.in,0303102@supplycomail.com,",8.6883611; 76.7585698
Kayikkara Rural Development Co-Operative Society,Banks,Kadakkavoor, Kaykkara; Road Kaykkara; 695307,,"ho.cardbank@gmail.com,landbankrotcr@gmail.com,",8.6831941; 76.7488019
Federal Bank Atm Nilakkamukku,Banks,Varkala, Kadakkavoor; Nilaykkamukku Kadakkavoor; 695306,,"creditcards@federalbank.co.in,mobilesupport@federalbank.co.in,x3ecreditcards@federalbank.co.in,x3econtact@federalbank.co.in,nridiv@federalbank.co.in,x3emobilesupport@federalbank.co.in,contact@federalbank.co.in,x3enridiv@federalbank.co.in,",8.6872979; 76.7737766
Sbi Makkaraparamba,Banks,Malappuram, Makkaraparamba; Makkaraparamba; 676507,04933 286 865,"x3enridesk.ahmedabad@sbi.co.in,nridesk.kerela@sbi.co.in,x3enridesk.banglore@sbi.co.in,x3enridesk.kerela@sbi.co.in,contactcentre@sbi.co.in,customercare@sbi.co.in,sbi.71163@sbi.co,nridesk.ahmedabad@sbi.co.in,nridesk.banglore@sbi.co.in,sbi.71163@sbi.co.in,",11.0161024; 76.1204964
Santhigram Scb Ltd. Nellippara Branch,Banks,Thrissur,nan; Mile Erattayarnedumkandam Road; 685602,,"mail@valapadscb.com,cts@thrissurdcb.com,santhigramscb@gmail.com,ab@thrissurdcb.com,helpdesk@thrissurdcb.com,",9.8139819; 77.0604222
ESAF Small Finance Bank,Banks,Thrissur, Mannuthy; NH 47 Mannuthy; 680651,,"pdschairman@esafbank.com,principalnodalofficer@esafbank.com,enquiry@esafbank.com,customercare@esafbank.com,mvasufcs@gmail.com,",10.5329429; 76.2606945
