Name,Sector,City,Address,Phone,Email,Lat-Long
Jannah Bakery And Food Court,Retail,Kottayam, Adimali; Madurai Dhanushkodi Road Adimali; 685561,,"keltravelss@gmail.com,",10.0157142; 76.9530669
Hotel Sangamam,Retail,Palakkad,Near Sanil Workshop Kalapatti; Kuzhalmannam-i Kalapatti; 678702,,"ksbcpkd@gmail.com,",10.6969854; 76.5894778
Hotel Gopika,Retail,Kannur,Near Sbk Hospital Chelavoor; Highway Chelavoor; 673571,8485904057.0,"reservations@magnethotelkannur.com,gopikaregencygvr@gmail.com,info@magnethotelkannur.com,ollur@vaidyaratnam.com,varma.gopika@gmail.com,",11.298155555556; 75.849977777778
Cita Pani,Retail,Kunnamangalam,Bombay Hotel Cherooty Road; Silk Street Cherooty Road; 673032,,"pani@itat.nic.in,vinoopn@hotmail.com,athulbhearts@gmail.com,pn.devadasan@incometax.gov,",11.2514849; 75.7732073
Upper Crust Bakery,Retail,Malappuram, Jawaharnagar; Kowdiar Jawaharnagar; 695003,,"hameedcrust@gmail.com,John@ucbakery.com,gssc72ipr@gmail.com,JSmith@ucbakery.com,crustfoods@gmail.com,",8.5228212185; 76.9511654601
Madhavs Modern Dental Speciality Clinic,Retail,Varkala,Beside A J Hospital Kazhakuttam; Amman Kovil Rd Kazhakuttam; 695582,9725816824.0,"Koshyjoseph@yahoo.co.in,",8.568339972222; 76.872653972222
Smile Design The Orthodontic Dental Care,Retail,Varkala,Vythuthi Bhavan Pattom; Rd Medical College Pattom; 695004,8904783581.0,"info@smiledzign.com,",8.51722947222; 76.9399590833
Harry's Dentistry Family Dental Clinic,Retail,Varkala, Temple Road; Temple Road Temple Road; 695141,062384 02439,"reception@lakelandsfamilydental.com.au,",8.732027777778; 76.718319444444
Aadhi Dental Clinic,Retail,Varkala, Cherunniyoor; Mananakku Road Cherunniyoor; 695142,099952 17638,"ahalya.vg@gmail.com,mugalthaha@icloud.com,contact@aadhidentalclinic.com,dr.ajay@aadhidentalclinic.com,drajay.chettiar@gmail.com,",8.7312728; 76.746108
Vijay Dental Clinic,Retail,Varkala,Near Muncipal Park Varkala; Madathara road Varkala; 695141,,"vidyasp25@gmail.com,",8.7351082; 76.7253617
P K Dental Clinic,Retail,Varkala, Varkala; Temple  Road Varkala; 695141,098468 61526,"pkdentvarkala@gmail.com,sanettoz@yahoo.com,info@pkdentvarkala.com,mmquickerala@gmail.com,",8.733416; 76.722722
Chitra Multispeciality Dental Centre,Retail,Indi,Opposite to Elamkulam Mahadevar Temple Sreekaryam; Sreekaryam; 695017,094474 78775,"drminijose@gmail.com,",8.5484805; 76.9198061
PMS College OF Dental Science AND Research,Retail,Kottayam, Vattappara; Golden Hills Venkode Vattappara; 695028,0472 258 7878,"info@pmscollege.ac.in,principal@gdckottayam.org,info@igids.org,info@pmscollege.org,",8.60311374; 76.95486322
Dentique The Dental Studio,Retail,Indi,Above Chiyang Restaurant Banerji Road; Pharmacy Junction Banerji Road; 682018,8460473864.0,"dentiquedentalstudio@gmail.com,dentique.smiles@gmail.com,",9.98583; 76.281069
Implantree International Dental Hospital,Retail,Kalamassery, Kaloor; Deshabhimani Junction Kaloor; 682017,8485950451.0,"cbeimplantree@gmail.com,",9.9999183; 76.2980044
Dr. Sunnys Dental Clinic,Retail,Nagar,Metro Pillar No 596 Beside Gokulam Park Inn Kaloor; Banerji Road Kaloor; 682017,8460411137.0,"drsunnyahluwalia@gmail.com,sunnydentalhospital@gmail.com,sunnyclinickochi@gmail.com,",9.993942; 76.2907905
Dr Pradeepa @ Dental Speciality and Implant Center,Retail,Cochin,Opposite Uparika Malika Thevara; Santi Nagar Thevara; 682013,7411837641.0,,9.9344127; 76.2982856
Dr. Nevin's Family Dental Clinic And Orthodontic Centre,Retail,Cochin,Opposite Stmarys Church Palluruthy; Palli Junction Palluruthy; 682006,,"drnevinsfdc@gmail.com,",9.928998; 76.269751
Multi Speciality Dental Clinic,Retail,Munnar, Moolakadai; Old Am Road Moolakadai; 685612,,"drriyasdentalclinic@gmail.com,info@msdcss.com,",10.0785044; 77.0629245
Koonath Medical and Dental Center,Retail,Kunnamkulam,Post Office Chittilapilly; Chittilapilly; 680551,095441 05480,"kuruvillasdental@gmail.com,",10.5599917; 76.1451849
Dr Sagirs Dentistry,Retail,Thrissur,Near Lulu Convention Centre Ayyanthole; Ayyanthole Road Ayyanthole; 680003,099956 77777,"sevensmelody@gmail.com,drsagirsdentistry@gmail.com,sagirdr@gmail.com,",10.5423673; 76.1845825
Coop Dental Clinicl,Retail,Kottayam, Kumily; Chelimada Kumily; 685509,,"n@rediffmail.com,nobinipe@gmail.co,",9.6170355; 77.1575458
Care 32 Dental Clinic,Retail,Kottayam, Kumily; Kottayam Road Kumily; 685509,086068 63333,"designs@radiancedf.com,dr.archana@care32dentalcentre.com,dentist@doctor32.com,dr.soham@care32dentalcentre.com,",9.609736; 77.1587098
Tooth Care Multispeciality Dental Clinic,Retail,Un,Anakkara Bus Stand Anakkara; Church Road Anakkara; 685512,,"info@krisheesdental.in,zeeshaan25@gmail.com,rhlnandakumar@gmail.com,",9.6652078; 77.1595058
Bheemanady Dental Care,Retail,Thiruvananthapuram,Opposite Ayurvedic Dispensary Bus Stand Bheemanady; Karimpanackal Arcade Bheemanady; 671314,,"shafikadachira3220@gmail.com,",12.3237934; 75.2878676
J R Multi Speciality Dental Clinic,Retail,Indi,Opp Ayyappan Kovil Thampanoor; S S Kovil Road Thampanoor; 695001,7947350236.0,"786supreme.dental@gmail.com,info.dental@smbt.edu.in,smbtdental@rediffmail.com,",8.4893782; 76.9504126
SAF Hospital,Retail,Nagar,Near Police Station Vattappara; MC Road Vattappara; 695028,0755 244 3649,"wecare@hiranandanihospital.org,roc.chennai@mca.gov.in,firozabad@dcdc.co.in,hridaypalmedical@gmail.com,safgamesvillagedn@gmail.com,sjncoir@gmail.com,",8.5930742; 76.952186
Ident Dental Clinic,Retail,Ooty,Near 3g Mobiles Mananthavady; Calicut Road Mananthavady; 670645,,"name@gmrt.ncra,roc.chennai@mca.gov.in,disp-ondipudur.tn@esic.nic.in,name@ncra.tifr,",11.8013876; 76.0035454
Pilakkal Dental Clinic,Retail,Indi,Opposite Petrol Pump Meppadi; Ooty Road Meppadi; 673577,070257 59934,"alqaeedenterprises@gmail.com,",11.5534012; 76.1370785
Malabar Dental Clinic,Retail,Annur,Above Jamboo Books Cannanore; Fort Road Cannanore; 670001,,"veeyesdentalhospital@gmail.com,info@veeyesdental.com,",11.8688802; 75.3671302
Curls & Curves Cosmetic Hospital,Retail,Kannur,Opposite New Bus Stand Payyanur; New Bus Stand Payyanur; 670307,8401632584.0,,12.1086071; 75.2152552
Dental Avenue Multispeciality Dental Clinic,Retail,Kannur,Opposite JTS Thottada; Near Thottada Thottada; 670007,094005 42397,"psaji1000@gmail.com,soumithran@hotmail.com,",11.853677722222; 75.414230333333
Uv Dental Care Centre,Retail,Alappuzha,Near Vee Ess Tiles Gallery Kakkazhom; Valajavazhi Kakkazhom; 688005,8460429983.0,"info@whitepeacockcompany.com,",9.399536199722; 76.352681
K G Ortho Cosmetic Dental Clinic,Retail,Cherthala, Mavelikara; Pookada Junction Mavelikara; 690101,,"kgortho@yahoo.com,drsalunke@hotmail.com,",9.2491738; 76.5361656
Dr. J Dental Care,Retail,Cherthala,Opposite Punnapara Juma Masjid Punnapra; Market Road Punnapra; 688004,8123746158.0,"panayamayurveda@gmail.com,lallabvtkl@gmail.com,",9.4319220387; 76.3479144735
Iris Dental Care,Retail,Cherthala,Near Govt Hospital Chengannur; MC Road Chengannur; 689121,8460409676.0,"irisdentalcare88@gmail.com,kadakkarappallyaphcnhmh@gmail.com,",9.3147844; 76.6175309
Aspire Dental Care,Retail,Alappuzha,South Of Government Hospital Cherthala Cherthala; Hospital Road Cherthala; 688524,9724909582.0,"ndr.anandraj.8939@gmail.com,aspirepolyclinic@gmail.com,aspiredentalbangalore@gmail.com,dr.anandraj.8939@gmail.com,",9.6808777; 76.3399775
Bhavani Multi Speciality Dental Clinic,Retail,Cherthala,NEAR EVM CINEMAS Kalavankodam; NH66 THANKI Kalavankodam; 688524,7947079868.0,"maxfacdentalspeciality@gmail.com,",9.703769; 76.324761
Crystal Dental Care,Retail,Cherthala,Near By St Andrews Church; Cherthala; 688530,094968 42183,,9.685115; 76.302449
D Care Dental Clinic,Retail,Aroor,Near Government Homeo Hospital Cherthala; Cherthala Cherthala; 688524,,"query@decaredental.ie,",9.687815972222; 76.325231
St Gregorious Dental Clinic,Retail,Indi,0pp Metropolitan High School Puthencavu; Road Puthencavu; 689123,095449 43586,"info@infonlive.com,stgregorious1994@gmail.com,",9.325674899722; 76.633399999722
Colonels Dental World,Retail,Indi,Near Lords Junior School Venganoor; Venganoor; 695523,,"info@dentalworldofficial.com,drmc_sharma@yahoo.co.in,",8.39643; 77.0034
Dr. Smile Dental Lounge,Retail,Nagar,Pallichal Kalliyoor; Punnamoodu Road Kalliyoor; 695042,,"drsmile@singnet.com.sg,",8.4322986; 77.0178237
Meditrina Hospitals,Retail,Nagar,Opposite Cpim Office Ayathil; Kannanallur Road Ayathil; 691577,7487892972.0,"insurance@meditrinahospital.com,hospital@godrej.com,info@meditrinahospital.com,recruitment@meditrinahospital.com,",8.892185; 76.632508
Holy Angels Dental Clinic,Retail,Indi,Christhuraj Church Ayur; Anchal Road Ayur; 691533,,"clinicmatrix@gmail.com,roc.chennai@mca.gov.in,mmquickerala@gmail.com,enquiry@avionship.com,",8.9011869; 76.8651369
CHELAT RAM'S MULTISPECIALITY DENTAL CLINIC,Retail,Coimbatore,Opp Rakesh Marble Koppam; Calicut BY-pass Road Koppam; 678001,9054650636.0,"veeyesdentalhospital@gmail.com,",10.772349; 76.672454972222
Dr Roots Denta Care,Retail,Palakkad,Opposite Volkswagen Service Centre Sultanpet; Mathakovil Road Sultanpet; 678001,9725561460.0,"sreejithethanur@gmail.com,dr.abrahamthomas@yahoo.com,",10.772857; 76.6600957
Dr. Manoj.s Multi Speciality Dental Clinic,Retail,Coimbatore,Opp Patambi Guruvayoor Temple Pattambi; Guruvayur Road Pattambi; 679303,,"drvnmanojkumar@gmail.com,",10.800625432077; 76.177120467975
Perfect Dental Care,Retail,Tirur,Near Aswini Hospital Ottapalam; Pattambi Road Ottapalam; 679101,,"faisalsrelief@gmail.com,perfectdentalcareny@gmail.com,idealdentaltirur@gmail.com,",10.7725883; 76.3730478
Misir Dental Clinic & Cosmetic Centre,Retail,Tirur,Near Dist GovtHospital Tirur; Chirakkal Building Tirur; 676101,8460512742.0,,10.912033333333; 75.922394444444
Dental Hom Tirur,Retail,Indi,Opposite P M K Supermarket Tirur; GOVT. HOSPITAL ROAD Tirur; 676101,8460390038.0,"denispaulk@gmail.com,",10.9098347; 75.9228377
Noble Dental Clinic,Retail,Manjeri,Opposit Sini Studio Puthanathani; Road Puthanathani; 676552,7411835572.0,"office@noblepublicschool.org,kreatekm@gmail.com,",10.8876884; 76.0728228
Al Zeefa Dental Clinic,Retail,Manjeri,Vettichiria Kadambuzha Road Vettichira; Vettichiri Vettichira; 676552,9725805956.0,"midacmathottam@gmail.com,Aliaskarpk@gmail.com,",10.929154; 76.023487
Ayisha Dental Care,Retail,Wai,Near Tb Road Wandoor; Wandoor Kalikavu Road Wandoor; 679328,8460540061.0,"mail@tharayilgroup.com,info@carillondentalcare.com,",11.194838333333; 76.239051666667
Royal Multi Speciality Dental Clinic,Retail,Manjeri, Pandikkad; Perinthalmanna Pandikkad; 676521,,"iob3641@iob.in,ameenalikp313@gmail.com,revathymuraliv@gmail.com,midacmathottam@gmail.com,",11.0929606; 76.2244822
