Name,Sector,City,Address,Phone,Email,Lat-Long
Gem Know Model H S S .,School,Kadakkavoor, Vettoor; Mel Po Varkala Pin Vettoor; 695312,,"ktcthss@gmail.com,gkmhss@yahoo.com,gkmhss@gmail.com,",8.7137344; 76.7390943
Kidz World International School,School,Varkala,Opposite Iob Temple Road; Temple Road Temple Road; 695141,,"info@kidzpalaceuk.com,kidzworldvarkala@gmail.com,kidzpalacebox@gmail.com,kidsworld.rohini@gmail.com,mmquickerala@gmail.com,info@kidzworldschool.com,",8.7332907; 76.7234762
Mannaniya Public School,School,Varkala, Varkala; Sreenivasapuram Varkala; 695141,,"varkalamannaniyapublicschool@gmail.com,principalmannaniyaschool@gmail.com,email@domine.com,",8.7508358; 76.7333816
Sree Krishna Natya Sangeetha Academy,School,Varkala, varkala; Avenue Road varkala; 695141,,"contactus@sreekrishnanatyasangeethaacademy.com,kssams2003@yahoo.co.in,skcprctvm@gmail.com,maklangsangeetacademy@gmail.com,u003econtactus@sreekrishnanatyasangeethaacademy.com,",8.7321591; 76.7316876
Hilal Public School,School,Malappuram, Ponnani; Ponnani; 679577,,"76255@cbseshiksha.in,info.hilalpublicschool@gmail.com,",10.77591959; 75.92171312
Acush Acupuncture Academy,School,Malappuram,Opp Boys High Sec School Thekkummuri; Kuttippuram Road Thekkummuri; 676105,,"niyaracu@gmail.com,",10.882401; 75.943755
Government Rajah's Higher Secondary School,School,Malappuram, Kottakkal; Malappuram Kottakkal; 676503,,"thomsthekkini@gmail.com,moonniyurhss@gmail.com,grhss11011@gmail.com,gbhssmanjeri11010@gmail.com,grhsskottakkal@gmail.com,info@mestcs.ac.in,",10.991089; 75.9951315
Delhi International School,School,Malappuram, Vengad; Valanchery Vengad; 679338,,"diskeralaprinci@gmail.com,info@internationaldelhischool.org,edudwar.com@gmail.com,",10.9143949; 76.1115185
Hill Top Public School,School,Malappuram, Kunnakkavu; Kunnakkavu; 679340,,"school.hilltop@yahoo.com,hilltopkkv@gmail.com,hilltoppublicschool@gmail.com,",10.9016272; 76.2513044
P P T M Higher Secondary School,School,Malappuram, Kondotti Malappuram; Kottukara Kondotti Malappuram; 673638,,"ppmhss@gmail.com,pptmyhscherur@gmail.com,info@mestcs.ac.in,",11.1390531; 75.9826754
A. K. M. High School,School,Manjeri, Malappuram Ho; Malappuram Malappuram Ho; 676505,,"hmcmanjeri@gmail.com,",10.986858; 76.033145
Montfort Valley School,School,Kottayam, Anakkara; Anakkara; 685512,,"admissions@lifevalley.in,ajesudas75@gmail.com,montfortvalley@gmail.com,",9.66452; 77.1587
St Josephs Lp School,School,Munnar, Nettithozhu; Tamil Nadu Nettithozhu; 685551,,"29202stups@gmail.com,mail@cmicarmel.org,u003cSiby45@gmail.com,secretarycarmel@gmail.com,stjosephems@yahoo.com,sanjosevlkn@gmail.com,u003cgtlpspettimudy@gmail.com,",9.7020246; 77.1946379
S K M Higher Secondary School,School,Kottayam,Near Subramanya Swamy Temple Kumarakom East; Vaikom Road Kumarakom East; 686563,,"XXXX@XXXXXX.XXX,anilkumarakom@gmail.com,",9.596468; 76.432397
Parippu High School,School,Kottayam," Parippu; Kottayam,Parippu; 686014",,"highschoolparippu@gmail.com,",9.6188892; 76.4783656
Cms High School,School,Kottayam,nan; Kottayam; 686014,,"CMS@cmscollegehighersec.com,cms@cmscollegehighersec.com,lakefordschool@gmail.com,cmscollegehs@gmail.com,XXXX@XXXXXX.XXX,",9.6055641; 76.4789013
Government Blind School,School,Kottayam," Olessa; Kottayam,Olessa; 686014",,"assisikt@gmail.com,XXXX@XXXXXX.XXX,hssneerpara@gmail.com,blindschoolkottayam@gmail.com,",9.6108037; 76.4844348
St George L P School,School,Kottayam,nan; Kottayam; 686014,,"priyajprakash72@gmail.com,XXXX@XXXXXX.XXX,sgpskoruthodu@gmail.com,",9.6267468; 76.4859494
St.Marys L P School,School,Kottayam," Thiruvarppu; Kottayam,Thiruvarppu; 686020",,"aruvithurachurch@gmail.com,XXXX@XXXXXX.XXX,nishakoshy25@gmail.com,cbseschoolkottayam@gmail.com,",9.5811341; 76.4765362
Holy Cross School,School,Kottayam," Aymanam; Kottayam,Aymanam; 686015",,"hcaymanam@gmail.com,johnycscj@gmail.com,holycrossvidyasadan@gmail.com,edudwar.com@gmail.com,",9.617352; 76.493608
St Michael's Higher Secondary School,School,Kottayam," Vechoor; Kottayam,Vechoor; 686144",,"stmichaelspusaroad@gmail.com,teachersguildkottayam@gmail.com,CMS@cmscollegehighersec.com,st.maryskmkd@gmail.com,ghssporuvazhy@gmail.com,",9.6680697; 76.4094843
I.T.I Thiruvarppu Kiliroor North P.O,School,Kottayam," Thazhathangady; Kottayam,Thazhathangady; 686005",,"govtitithiruvarppu@gmail.com,focusitc@gmail.com,",9.5849736; 76.4880455
Government High School,School,Kottayam," Villoonni; Kottayam,Villoonni; 686008",,"hitcchorod9@gmail.com,ghsskadappoor@gmail.com,ict.dge@kerala.gov.in,avhss914017@gmail.com,",9.6329942; 76.4956173
Excelsior English School,School,Kottayam,"Near St Jon School Velloor; Kottayam,Velloor; 686501",,"mail@excelsior.edu.in,",9.58593; 76.490912
Chinmaya Vidyalaya,School,Kottayam," Thazhathangady; Kottayam,Thazhathangady; 686005",,"u003eoffice@chinmayavidyalayaktm.org,giitadv@gmail.com,office@chinmayavidyalayaktm.org,info@chinmayavidyalayaktm.org,",9.5891442; 76.4933585
St. John'S U.P. School,School,Munnar,nan; Kottayam; 686001,,"admissions@stjohnsschools.org,mail@cmicarmel.org,info@stjohnsschools.org,contact@stjohnsmeerut.org,fee@stjohnsschools.org,secretarycarmel@gmail.com,stjsssfzd@gmail.com,",9.587755; 76.493083
ST.JOSEPH'S COLLEGE- MALA,School,Thrissur,StJosephs College Mala Thrissur; MALA Mala Thrissur; 680732,9054586845.0,"office@stjosephs.edu.in,.in_iqac@stjosephs.edu,smctsr@gmail.com,info@stjosephs.edu.in,u003e_office@stjosephs.edu,principal@stjosephs.edu.in,iqac@stjosephs.edu.in,.in_coe@stjosephs.edu.in,stcthrissur@gmail.com,coe@stjosephs.edu.in,u003einfo@stjosephs.edu.in,",10.2405152; 76.2619036
Carmel CMI Public School,School,Nagar, Kattappana; Kattappana; 685508,,"cmi_publicschool@yahoo.com,Uscarmelpsvazhakulam@gmail.com,mail@cmicarmel.org,cyriac.t9@gmail.com,mail@carmelagirimunnar.com,smundan@gmail.com,carmelagiripublicschool@gmail.com,carmelacademynagpur@gmail.com,secretarycarmel@gmail.com,75880@cbseshiksha.in,",9.7543; 77.115917
Viswadeepthi CMI Public School,School,Un, Adimali; Deepthi Nagar Idukki Adimali; 685561,,"principal@viswadeepthi.com,",10.0120398; 76.9408403
St.Marys Cathedral Public School,School,Alappuzha, Mavelikara; Old Mavelikkara Mavelikara; 690101,,"smcps@yahoo.com,smcpsmvk@gmail.com,reenaphilip2010@gmail.com,",9.2456646; 76.5517044
Leo XIII Higher Secondary School,School,Alappuzha,Ner Collectrate Alappuzha Ho; Alappuzha Ho; 688001,,"35004alappuzha@gmail.com,leoxiiiemkalath@gmail.com,curia.alleppey@gmail.com,leo13thhss@gmail.com,",9.4962537; 76.3285517
Matha Senior Secondary School,School,Alappuzha, Alappuzha Collectorate; 688007 Alappuzha Collectorate; 688001,,"school_matha@yahoo.com,info@mathathumpoly.com,mathathumpoly@gmail.com,matha@yahoo.com,",9.5227011; 76.3282348
Gayathri Central School,School,Cherthala, Bharanickavu; Gvm School Road Bharanickavu; 690503,,"gayathricentralschool@gmail.com,joshynv@gmail.com,principalgayathri.cs@gmail.com,",9.174838; 76.54104
Nair Samajam High School For Girls,School,Indi, Mannar; Kayamkulam Thiruvalla Hwy Mannar; 689622,,"info@bnsbhilai.com,",9.3140615; 76.5334711
Karuna Vidyakshetra International School,School,Cherthala, Kayangulam; Kayamkulam Kayangulam; 690502,,"karunavidyakym@gmail.com,",9.1566794; 76.5059392
Thalikulam High School Ground,School,Thrissur, Talikulam; Thalikulam Talikulam; 680569,,"XXXX@XXXXXX.XXX,",10.442711; 76.090171
Cnn Bhs School,School,Un, Cherpu; Thriprayar Road Cherpu; 680561,,"cnnhss.cherpu@gmail.com,ghsspampady@gmail.com,",10.4389996; 76.2108468
Kailasanadha Vidyanikethan,School,Kunnamkulam,Opposite Kerala Agricultural University Mannuthy; Mullakara Mannuthy; 680651,,"info@kvnschool.com,principal@kvnschool.com,principaljat2016@gmail.com,",10.549108; 76.286216
St Sebastians Higher Secondary School,School,Thrissur, Kuttikkad; Kuttikad Road Kuttikkad; 680724,,"thomsthekkini@gmail.com,bethanykkm@gmail.com,st.maryskmkd@gmail.com,st.sebastianshss_kuttikad@yahoo.in,",10.3285655; 76.3962533
Kendriya Vidyalaya,School,Thrissur, Puranattukara; Puranattukara; 680551,,"principal.kvthrissur@gmail.com,vinodkumarap@gmail.com,kvthrissur1985@gmail.com,",10.5579168; 76.1655237
Carmelagiri C M I Public School,School,Munnar,nan; nan; 685612,,"mail@carmelagirimunnar.com,carmelagiripublicschool@gmail.com,carmelagiri@hotmail.com,mail@carmelagiri.com,quickeralateam@gmail.com,principal@carmelgiri.com,",10.0962618; 77.0992827
Love & Care Pre School,School,Nagar,Atm Center Kanjikode; Sathrapadi Kanjikode; 678621,8460531462.0,,10.795625; 76.749358333333
Learntree School For Skill Excellence,School,Nagar, Parakkunnam; ParakkunnaM Parakkunnam; 678001,,"info@thelearningtree4u.com,info@domainname.com,",10.7837745; 76.6505597
Sree Lakshmi Driving School,School,Palakkad, Stadium Bypass Road; Road Stadium Bypass Road; 678013,,"mmquickerala@gmail.com,madhugds5@gmail.com,",10.7664748; 76.6593682
Vyasa Vidya Peethom School,School,Indi, Palakkad Ho; Palakkad Ho; 678001,,"vyasa930022principal@gmail.com,vyasaacademy4u@gmail.com,devangopal@gmail.com,",10.787203; 76.599821
Pmg Higher Secondary School,School,Palakkad, Tharekkad; Vinayaka Colony Tharekkad; 678001,,"sdahsotp4@gmail.com,pmghss@gmail.com,pmghsspalakkad@gmail.com,",10.7829658; 76.6524555
Hillview Inter National School Koodathai Thamarassery,School,Kunnamangalam,EDUPARK Campus Thamarassery; THAMARASSERY Thamarassery; 673573,8401318249.0,"hillviewclt@gmail.com,principalhillviewclt@gmail.com,info@hillviewclt.com,",11.391291; 75.9506144
Pmoc,School,Mavoor, Vellimadukunnu; Poolakkadav Road Vellimadukunnu; 673012,,"ghsmavoor@gmail.com,shomavoorkkd.pol@kerala.gov.in,mavoorbrc@gmail.com,cresenths@gmail.com,",11.2957405; 75.8213571
Marygiri Senior Secondary School,School,Tellicherry, Sreekandapuram; Koottumugham Post Sreekandapuram; 670631,,"marygirienglishmedium@gmail.com,office@marygiri.org,",12.0468491; 75.5237532
St. Teresa's Aihss,School,Kannur, Burnacherry; Burnacherry; 670013,,"stteresasaihsskannur@gmail.com,u003estteresasaihsskannur@gmail.com,XXXX@XXXXXX.XXX,mail@teresian.org,stteresasaihss@gmail.com,",11.8592559; 75.3622335
Koodali Higher Secondary School,School,Kannur,Koodali Twn Koodali; Airport Road Koodali; 670592,,"directorhse.ker@gmail.com,koodalihs@gmail.com,",11.923366; 75.476637
Sree Narayana Vidya Mandir,School,Kannur,Near Sree Sundereshwara Temple Talap Kannur; SNVM School Talap Kannur; 670002,,"snvmandir@sancharnet.in,snvmandirs@gmail.com,",11.8853593; 75.3689772
De Paul Public School,School,Ooty, Kalpetta; De Paul Public School Kalpetta; 673121,,"depaulmys@gmail.com,jitheshmulackal@gmail.com,depaulpublicschool@gmail.com,enquiries@dpirs.org,contact@ststephensschool.co.in,office@dpirs.org,depaulpublictdpa@gmail.com,",11.6006791; 76.0813221
St. Sebastian's Higher Secondary School,School,Kottayam,nan; Malayilputhuval Road; 685503,,"chengalamstjoseph@gmail.com,lizysunnystephen@gmail.com,thomsthekkini@gmail.com,05042_sshsskadanad@live.com,principalmmount@gmail.com,st.maryskmkd@gmail.com,",9.6762024; 76.966098
Asian Public School,School,Thiruvananthapuram, Kovalam Beach; Kovalam Beach; 695527,,"info@asb.ac.in,admission@aps-school.in,director@asb.ac.in,asiangroupofschool@gmail.com,info@aps-school.in,apstrivandrum@awesindia.edu.in,asianpublicschool2011@gmail.com,",8.3979024; 76.9850206
Govt Hs Vazhamuttom,School,Thiruvananthapuram," Pachallor; Thiruvananthapuram,Pachallor; 695027",,"info@entranceindia.com,",8.413719138889; 76.970855666667
Crescent Islamic English Medium School,School,Thiruvananthapuram,Venganoor; Thiruvananthapuram; 695521,,"info@studyapt.com,",8.3872799; 76.9886228
St. Francis School,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",,"stjoseph2007@rediffmail.com,sfsvzm@rediffmail.com,info@stfrancisinternationalschool.com,stfrancisschoolvnb@gmail.com,sfis2009@hotmail.com,",8.3975556; 76.9960722
St Francis Sales Central School,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",0471 248 3447,"stjoseph2007@rediffmail.com,sfsvzm@rediffmail.com,",8.3975556; 76.9960722
ST. Francis Sales School,School,Thiruvananthapuram," Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",0471 248 3447,"stjoseph2007@rediffmail.com,sfsvzm@rediffmail.com,salesnivas@rediffmail.com,",8.3974802; 76.9960773
St Francis Sales L P School,School,Thiruvananthapuram," Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",0471 248 3447,"sfsvzm@rediffmail.com,salesnivas@rediffmail.com,",8.3974803; 76.9961108
Metrocity School,School,Thiruvananthapuram,"Vazhamuttam High School Vazhamuttom; Thiruvananthapuram,Vazhamuttom; 695027",,"mail@mgmcet.ac.in,gmchsstvm@gmail.com,info@entranceindia.com,travancorenationalschool@gmail.com,",8.4154301; 76.9700633
Holy Spirit School,School,Thiruvananthapuram,"Poonkulam Vellayani; Thiruvananthapuram,Vellayani; 695522",085939 61548,"archanatabraham@gmail.com,lijijoshwa1@gmail.com,holyspiritschool7@gmail.com,hssp1@hotmail.com,",8.4227018; 76.9730077
Vps Boys Higher Secondary School,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",,"gbhsskaramana@gmail.com,hss.stgorettis@gmail.com,XXXX@XXXXXX.XXX,vpsbhss@gmail.com,",8.3963269; 77.0031916
Hss For Girls,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",0471 248 0956,"stmichaelshskdm@gmail.com,cmghss@rediffmail.com,gmhssforgirlspattom@gmail.com,cgacdhse@gmail.com,stghss@gmail.com,gghssatt@gmail.com,",8.3949471; 77.0032231
Mother Theresa Cbse School Msc Management,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",,"mtmcentralschool@gmail.com,mtmschool@yahoo.com,",8.3960337; 77.0035943
SIMS Sagreen Montessori School,School,Thiruvananthapuram," Vellayani; Thiruvananthapuram,Vellayani; 695522",,"simspkm@gmail.com,simsglobal@gmail.com,",8.425180388889; 76.971488916667
St Marys Lp School,School,Thiruvananthapuram,"Near Pluslook Saloon Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",,"pattomstmarys@gmail.com,",8.379700611111; 76.997207638889
